x,Img (Cartesian Increment)_mean,Img (Cartesian Increment)_stderr,Img (Velocity)_mean,Img (Velocity)_stderr,Img (Position Increment)_mean,Img (Position Increment)_stderr,Img (Torque)_mean,Img (Torque)_stderr
36669388.8,7.710032490043279e-05,1.9741407923487465e-05,0.02691446764705082,0.0023880746739197325,0.060058848963429536,0.016079693971639712,0.07700221048047146,0.008668279020531178
36919552.0,0.0001195071803522296,2.07862599885865e-05,0.03131226116480927,0.0016999398156842779,0.06100020979841549,0.0161409296342195,0.07666820157319307,0.007553351509762366
37169715.2,8.525058309225223e-05,2.0134053204841192e-05,0.030491660612945753,0.0023002475990974184,0.05847724260141453,0.015925529971785396,0.07570484727621078,0.007719486659990279
37419878.400000006,0.0001451335170713719,3.672482754091265e-05,0.027003239902357257,0.002192217679039625,0.06369588579982519,0.01914033078338891,0.08410865788658459,0.014558081938598609
37670041.6,0.00011238852433355835,2.53798433103566e-05,0.026958361801762996,0.002643775656239852,0.05532193229748653,0.01562951029754282,0.08636724415879983,0.013538569036320135
37920204.8,0.00013134002680696236,3.0985246572584205e-05,0.0282156636317571,0.0032630026981573324,0.06580569244300326,0.0178276147923796,0.09041642857094606,0.009183088567201982
38170368.0,0.00012592849573896575,2.7159510789358396e-05,0.03246838503206769,0.004003562060021712,0.05532186130682628,0.015699536940668234,0.09205265237639348,0.008412722813206645
38420531.2,0.00010903948098600199,4.102345554214035e-05,0.02938032285310328,0.002252342570548154,0.060187537843982376,0.01670145642825297,0.08927995612223943,0.007263069458914121
38670694.400000006,0.00013138524203289612,2.152122810495235e-05,0.029722904957210028,0.002443411527548664,0.05624479064717889,0.015048307252073028,0.09152284127970536,0.00780024809176571
38920857.6,0.00010329075133389174,3.9004460641883126e-05,0.025854608244620835,0.002575424205613522,0.058784423052118374,0.0173510550218621,0.09857674711025678,0.008429261357302636
39171020.8,0.00011750466219382361,2.5014478343270157e-05,0.02568705112983783,0.0014089045480955233,0.0656658785417676,0.01704607557695447,0.10277577961484592,0.008649021576049716
39421184.0,8.18920312061285e-05,2.007341193370692e-05,0.02525612130605926,0.001979616306406049,0.061388376913964746,0.015972933270398747,0.0976810473948717,0.009608303968318141
39671347.2,8.227922102937905e-05,4.5363094962561665e-05,0.023444554256275296,0.001087767517041285,0.060833915385107205,0.01601843490977196,0.10308206553260484,0.010595590603743313
39921510.400000006,0.00010822343344140486,2.4975695960681633e-05,0.027587675272176666,0.0010635874044416522,0.05395906430979569,0.014098636260976875,0.10849935325483481,0.011556288402099928
40171673.6,9.333296232701589e-05,2.7457342234087625e-05,0.028327537113084243,0.0022267599996565104,0.05001191385090351,0.013171965937953637,0.10550024715753703,0.011996740489339582
40421836.8,0.0001151814438344445,3.19288241376218e-05,0.026240550881872576,0.0037613781467002987,0.05091204370061556,0.012737876213702563,0.10832804267605145,0.011854811197307979
40672000.0,0.00010115474511761792,3.2288599965703434e-05,0.029612228833138944,0.0050581135175983925,0.04980020591368278,0.012581648812625646,0.10750736966729164,0.012512620294273859
40922163.2,0.00010483450241736137,3.412441237944591e-05,0.026215244131162763,0.0027069955841478475,0.054017091604570557,0.01397524680477921,0.10482023383180301,0.0089884987974009
41172326.400000006,9.504754101120246e-05,2.6785813511059723e-05,0.027676217739159865,0.0036331547763625675,0.055317975425471864,0.014060453968457268,0.10425510921825967,0.010604321148753617
41422489.6,0.0001597857922509623,4.6456185523947113e-05,0.030408572806761812,0.0013498868546775633,0.05636582205501887,0.014604748047214872,0.10385583937168122,0.008551849572371912
41672652.8,0.00012501534341330018,2.2547817772141873e-05,0.02909469064325094,0.0015383853508209484,0.06332847910622755,0.016263424729460196,0.10754885015388331,0.008284204387688763
41922816.0,0.00015064544613079095,3.995096042255925e-05,0.030551036555940908,0.0020842276825347172,0.05210288154582182,0.013474636396648376,0.1007041183610757,0.007373352668421037
42172979.2,7.094910057882469e-05,2.2526646728990305e-05,0.02779099623051783,0.0015992454293115058,0.05310410509506861,0.014798615980438348,0.10055040456354618,0.010714163884405277
42423142.400000006,0.00010656602632176753,3.076559421700024e-05,0.028803267927529914,0.002673394591532777,0.054521598604818186,0.014060073963115906,0.09708496083815892,0.009357562175731542
42673305.6,0.00013293374334656012,3.9488188289040194e-05,0.02790379610199195,0.003030009775633621,0.059254046357595,0.01557832120268524,0.09356243134691164,0.009699355387011051
