x,Img (Cartesian Increment)_mean,Img (Cartesian Increment)_stderr,Img (Velocity)_mean,Img (Velocity)_stderr,Img (Position Increment)_mean,Img (Position Increment)_stderr,Img (Torque)_mean,Img (Torque)_stderr
95590.4,0.10892590956063941,0.008169141699598386,0.0005849156295880675,0.00014690807987060534,0.03630101709859446,0.010498496765092308,0.00200000001253405,0.0006434959887412044
245811.19999999998,0.16181510207908495,0.010279205823944666,4.2194093111902475e-05,2.1733280890952327e-05,0.19847718998789787,0.00791165311252337,0.06110910255284537,0.0057226849834943055
396032.0,0.14497824804857373,0.004022599251530469,6.027727587414639e-06,6.027727587414639e-06,0.19004135206341743,0.010200046626536025,0.09494876577740624,0.003996579164711702
546252.7999999999,0.15098524253283227,0.006582364006272887,0.0,0.0,0.20183514431118965,0.005890314121215233,0.0787974689155817,0.008603172002322333
696473.6,0.1548907607793808,0.005761702606776531,0.0,0.0,0.18593218550086021,0.006403751210190372,0.07403857881824176,0.011055961467036695
846694.3999999999,0.15477623022161424,0.0035018979366724435,0.0,0.0,0.17908164206892252,0.001535715385596214,0.06412899547389576,0.007800668833422413
996915.2,0.14172850123473577,0.0050668414048051225,0.0,0.0,0.17195812985301018,0.005593508724583908,0.047932490396002926,0.00459814013597391
1147136.0,0.1314705956195082,0.005736899709914844,0.0,0.0,0.17282699048519135,0.007284658932036801,0.04654008540369215,0.006160523491954312
1297356.7999999998,0.11294806562364101,0.004757441398887336,0.0,0.0,0.16278094612061977,0.0051344048615661894,0.04099457569065548,0.004556424055744352
1447577.6,0.09765899553894997,0.005012715889503212,0.0,0.0,0.163847747258842,0.009399897086876803,0.03597046450401346,0.0015776655117493178
1597798.4,0.0891857101981129,0.0026452851796703726,0.0,0.0,0.15009332681074739,0.010840675299010484,0.03619650511869363,0.005869530379695813
1748019.1999999997,0.0788979937788099,0.005074089162961812,0.0,0.0,0.1419046139344573,0.009797482231000023,0.03995780726628644,0.008520834857836
1898240.0,0.07070520493601051,0.0032657109696035847,0.0,0.0,0.13423966290429235,0.005456344610730233,0.04415611922740936,0.003460687268073975
2048460.7999999998,0.0704980633620705,0.003130870186453924,0.0,0.0,0.1315986169502139,0.004822624293604123,0.054846294046867465,0.004602528811211878
2198681.5999999996,0.0663695625262335,0.0016391926897280009,0.0,0.0,0.13211292711397013,0.009912640879107521,0.04720313545493852,0.0040473537674589255
2348902.4,0.06711324730089732,0.0022537766566664685,0.0,0.0,0.12118187081068754,0.008866516228723718,0.042035866218308605,0.0028777371393175905
2499123.1999999997,0.06353487633168697,0.0016082358377425448,2.4110910349658555e-05,2.4110910349658555e-05,0.11748001165688038,0.005657040739048538,0.04441832484943526,0.004409050642120399
2649344.0,0.060288750915788114,0.0013822981870138108,0.0,0.0,0.11328214919194579,0.004975577191641691,0.03828209904687745,0.0034782443163542394
2799564.8,0.06154101860842534,0.001971079037899282,4.2194093111902475e-05,4.2194093111902475e-05,0.10887508653104305,0.006736614245735262,0.04202531774838766,0.006966914366295813
2949785.5999999996,0.06699544457452639,0.0012357546989884987,0.0,0.0,0.09775706147775054,0.007267973045756759,0.04065099562562647,0.007722479260870145
3100006.4,0.06289916252717376,0.0006078043876385931,0.0,0.0,0.08819436561316252,0.00939283873431998,0.0452200145061527,0.01176700047416013
3250227.1999999997,0.06403996901852745,0.0021952299447207703,0.0,0.0,0.08150560013018548,0.012610277809503623,0.04790084483101964,0.012561661748035736
3400448.0,0.06455389769481762,0.0019102804530451243,0.0,0.0,0.0800114490557462,0.011578624320231535,0.04286919933344637,0.009117872128953607
3550668.8,0.06522566883359104,0.0014305514476011334,0.0,0.0,0.07870629709213972,0.012794698950670697,0.040289332380607015,0.009415227921038672
3700889.5999999996,0.06930722894945315,0.001295292411932965,0.0,0.0,0.07449130062013865,0.016871179712979852,0.03863170627681982,0.011736353902685799
3851110.3999999994,0.07038533687591553,0.0015458263009269244,0.0,0.0,0.07271578605286777,0.017071252963045257,0.04141877762352427,0.013395680649676646
4001331.1999999997,0.06625906808767468,0.0006464303679293264,0.0,0.0,0.06842346559278667,0.015347641965200663,0.04359252724264349,0.01502047727766372
4151551.9999999995,0.06380079407244921,0.00290238031538925,0.0,0.0,0.06431683083064854,0.015272468676448386,0.042995781948169075,0.01454296207447155
4301772.799999999,0.06458348022507769,0.002963318037394945,5.274261638987809e-06,5.274261638987809e-06,0.06008240239073833,0.012733353058437539,0.05077004347306987,0.01284700456412147
4451993.6,0.061667756643146276,0.0004949728050010803,1.8083182762243917e-05,1.808318276224392e-05,0.05973603529855609,0.011432521092930534,0.04751657721187388,0.01700421968208892
4602214.4,0.05987788044980594,0.0016736504558644099,1.8083182762243917e-05,1.808318276224392e-05,0.05861763353459537,0.009276232662681723,0.039897529497033075,0.011024165052064746
