x,CartPos_mean,CartPos_stderr,CartPos+Img_mean,CartPos+Img_stderr
20480.0,2.5216224193573,0.13168407715010705,2.4885093688964846,0.10414043733227511
104006.9449081803,2.2901354512346805,0.11021709517237986,2.2803796997062507,0.10714688668896707
187533.8898163606,2.1638795400522297,0.07349159978786961,2.1367052180963255,0.12511265920278475
271060.83472454094,2.22242685240752,0.04313868608112546,2.2475342147430295,0.1565808228767811
354587.7796327212,2.289011005159284,0.028291470081715116,2.6289472479779747,0.2406102848901446
438114.7245409015,2.3587971380662127,0.028424019690766716,3.334221380096782,0.39744210680410885
521641.6694490818,2.4259493987987746,0.016361404748430154,4.171323066716402,0.5740289205507142
605168.6143572622,2.481731651670698,0.019835781174924298,5.061494906075234,0.7514275081378775
688695.5592654424,2.553207515153377,0.017694394124510848,5.94982649934145,0.8991420777432582
772222.5041736227,2.6110548385564973,0.02760291794515298,6.91063156448503,0.985188038998731
855749.449081803,2.6580085357047976,0.023685598510522418,7.939552373773596,0.9006544718074517
939276.3939899834,2.7066224284829956,0.02521997846096633,8.791096976710055,0.7618469882506519
1022803.3388981636,2.77079330597262,0.022004582514247868,9.508307498849394,0.6038019463221714
1106330.283806344,2.781459061267004,0.02071562896774678,10.078261340377328,0.4771046324020491
1189857.2287145243,2.810773574959891,0.034470388754341545,10.523805438950221,0.3561753757267275
1273384.1736227046,2.8318439837451495,0.027507835266845578,10.838608662476267,0.26432250095741855
1356911.1185308849,2.85534497479952,0.02422182870574777,11.034902913514069,0.1826243002240411
1440438.0634390651,2.8863083673381156,0.018819742932197105,11.204069823331817,0.14325997765248097
1523965.0083472454,2.9441665559810417,0.04304699510138857,11.317089931310866,0.11629228686061957
1607491.9532554257,2.955794014903596,0.04827327848943645,11.409659137898334,0.08873446670303248
1691018.898163606,2.9532617757304465,0.04335844011855043,11.490573312123468,0.07573325079047424
1774545.8430717865,2.946406220653941,0.047769916246634694,11.521455830583509,0.045061476362129475
1858072.7879799667,2.95797398824056,0.04441601175599277,11.549932212598893,0.04524011668113253
1941599.732888147,2.949374600035873,0.04048095351992035,11.568230744412782,0.04891748279461078
2025126.6777963273,2.959014722688687,0.0323384072992662,11.575442590406478,0.03784397608869537
2108653.622704508,2.9887902707914815,0.035812584766032815,11.612341506476104,0.03671180946804616
2192180.567612688,2.9962067775685766,0.048263630586150234,11.623149498786917,0.028688376002839393
2275707.5125208683,3.0015816679546803,0.04746468999119953,11.66791933737153,0.023527686829084828
2359234.4574290486,2.9931595322027986,0.03786073772291224,11.674131054754016,0.008932691169348158
2442761.402337229,2.974756791999954,0.03567316074806534,11.688480276829416,0.008080050739522457
2526288.347245409,2.9858451284674223,0.046641737497832195,11.698237583688883,0.014472095319660929
2609815.2921535894,2.9758672286611847,0.046376307671069796,11.6774906999532,0.023216107313774523
2693342.2370617697,2.9433427197176654,0.06493419639356379,11.677182341834877,0.02583766374423501
2776869.18196995,2.9637391579061236,0.07127114216773149,11.673499232370323,0.018863880834178767
2860396.1268781302,3.0269988880190466,0.05742274229678129,11.658175633477684,0.027484015806627345
2943923.0717863105,3.0640155140463916,0.04680647000643288,11.641724678949025,0.030758529795268167
3027450.016694491,3.0986625286844736,0.06195758620107109,11.644860772862753,0.02820671487469021
3110976.961602671,3.1170558051660557,0.06804581471643222,11.640950608252798,0.02233179601588068
3194503.9065108513,3.14855893852047,0.06187849185045058,11.62311021372535,0.015954719060130306
3278030.8514190316,3.1787920175922073,0.06957462984020622,11.620612016556922,0.02556355957611452
3361557.796327212,3.168769885452768,0.08682569459856891,11.629195082519804,0.021458520892645595
3445084.7412353926,3.167059383388655,0.11375612789111449,11.636483719852317,0.02878072183917936
3528611.686143573,3.1919346232494954,0.12325968277736436,11.636517303832528,0.032719089772784
3612138.631051753,3.218038071807739,0.12909991112051028,11.643144912666099,0.03634750131013441
3695665.5759599335,3.246956826866409,0.13838422230268313,11.673672147037143,0.03837217025606814
3779192.5208681137,3.2888086299416144,0.17738687353512658,11.689846319531338,0.039598052731267944
3862719.465776294,3.3614065184090327,0.22685267572496978,11.683434189443068,0.026518299670766438
3946246.4106844743,3.3737026615213503,0.23075781201748302,11.655752013014604,0.011453862584780795
4029773.3555926546,3.419243347274123,0.24944807026176333,11.67335084845768,0.02121500072585041
4113300.300500835,3.471616109198039,0.27996435194799474,11.65967431803928,0.023076281649141987
