t,success,grasped,has_collided,joint_jerks,proprioception,trial time
0,False,False,False,0.8372600487089297,[-0.013  0.235  0.013 -2.114 -0.008  2.331  0.805 -0.     0.     0.     0.001  0.001  0.     0.001],
1,False,False,False,1.912121335557513,[-0.013  0.235  0.013 -2.114 -0.008  2.331  0.805 -0.001 -0.    -0.     0.     0.    -0.    -0.001],
2,False,False,False,75.01467280136104,[-0.014  0.238  0.015 -2.113 -0.008  2.33   0.806 -0.006  0.03   0.095  0.019 -0.005 -0.058  0.017],
3,False,False,False,95.9193169974309,[-0.015  0.24   0.018 -2.111 -0.008  2.327  0.807 -0.022 -0.04   0.086  0.013 -0.023 -0.077  0.04 ],
4,False,False,False,121.28137217538269,[-0.017  0.244  0.022 -2.109 -0.009  2.324  0.809 -0.02   0.078  0.076  0.027 -0.02  -0.077  0.033],
5,False,False,False,74.02690890529536,[-0.018  0.247  0.025 -2.107 -0.009  2.321  0.81  -0.042  0.083  0.085  0.049 -0.008 -0.064  0.035],
6,False,False,False,19.895201323783322,[-0.02   0.25   0.028 -2.105 -0.009  2.318  0.812 -0.042  0.087  0.08   0.067 -0.008 -0.062  0.03 ],
7,False,False,False,20.59446108135703,[-0.022  0.254  0.031 -2.103 -0.01   2.314  0.813 -0.041  0.073  0.078  0.06  -0.007 -0.068  0.037],
8,False,False,False,40.308580596975666,[-0.023  0.257  0.034 -2.101 -0.01   2.312  0.815 -0.058  0.101  0.083  0.066  0.034 -0.055  0.051],
9,False,False,False,83.06323425866061,[-0.025  0.26   0.037 -2.099 -0.011  2.308  0.817 -0.036  0.086  0.071  0.035 -0.026 -0.086  0.042],
10,False,False,False,67.19715747121138,[-0.027  0.264  0.04  -2.098 -0.011  2.305  0.818 -0.041  0.09   0.075  0.049 -0.008 -0.074  0.042],
11,False,False,False,70.59263348846336,[-0.029  0.267  0.043 -2.096 -0.012  2.302  0.82  -0.041  0.182  0.05   0.064 -0.043 -0.024  0.037],
12,False,False,False,141.2536649669012,[-0.031  0.27   0.046 -2.094 -0.013  2.299  0.822 -0.053  0.113  0.071  0.043  0.03  -0.073  0.042],
13,False,False,False,75.40827811522544,[-0.033  0.274  0.049 -2.092 -0.013  2.296  0.824 -0.053  0.082  0.074  0.048  0.004 -0.079  0.04 ],
14,False,False,False,22.89439287980688,[-0.035  0.278  0.052 -2.09  -0.014  2.293  0.825 -0.047  0.081  0.064  0.056 -0.023 -0.068  0.041],
15,False,False,False,23.051186866944757,[-0.037  0.281  0.055 -2.088 -0.015  2.29   0.827 -0.054  0.093  0.072  0.064 -0.032 -0.07   0.053],
16,False,False,False,28.409260029459073,[-0.039  0.285  0.057 -2.086 -0.016  2.287  0.829 -0.06   0.091  0.063  0.04  -0.026 -0.085  0.055],
17,False,False,False,23.31043743776065,[-0.041  0.289  0.06  -2.084 -0.017  2.284  0.832 -0.052  0.089  0.069  0.04  -0.017 -0.084  0.046],
18,False,False,False,19.845670796843656,[-0.043  0.293  0.062 -2.082 -0.018  2.281  0.833 -0.057  0.096  0.074  0.053 -0.024 -0.087  0.057],
19,False,False,False,19.1756088775475,[-0.046  0.297  0.065 -2.08  -0.019  2.278  0.836 -0.055  0.088  0.066  0.051 -0.028 -0.082  0.054],
20,False,False,False,14.597549378370296,[-0.048  0.301  0.068 -2.078 -0.02   2.275  0.838 -0.056  0.093  0.063  0.042 -0.02  -0.085  0.045],
21,False,False,False,20.99135789861054,[-0.051  0.305  0.071 -2.076 -0.021  2.271  0.84  -0.06   0.089  0.052  0.052 -0.026 -0.085  0.056],
22,False,False,False,35.53873352990205,[-0.053  0.308  0.073 -2.074 -0.022  2.268  0.842 -0.056  0.07   0.055  0.035  0.013 -0.082  0.067],
23,False,False,False,57.857834471832064,[-0.056  0.312  0.076 -2.073 -0.023  2.265  0.844 -0.051  0.084  0.063  0.031 -0.029 -0.068  0.054],
24,False,False,False,36.859590708713455,[-0.058  0.316  0.079 -2.071 -0.024  2.262  0.847 -0.046  0.091  0.071  0.047 -0.022 -0.065  0.061],
25,False,False,False,25.920636813577325,[-0.06   0.32   0.081 -2.069 -0.025  2.259  0.849 -0.06   0.102  0.064  0.046 -0.025 -0.077  0.047],
26,False,False,False,26.181397799363314,[-0.063  0.324  0.084 -2.067 -0.026  2.256  0.851 -0.064  0.096  0.074  0.045 -0.03  -0.061  0.049],
27,False,False,False,14.063272224458325,[-0.063  0.324  0.084 -2.067 -0.027  2.256  0.851 -0.063  0.096  0.075  0.043 -0.033 -0.064  0.051],
28,False,False,False,16.868978937870068,[-0.068  0.331  0.089 -2.064 -0.028  2.25   0.855 -0.057  0.085  0.057  0.039 -0.021 -0.066  0.048],
29,False,False,False,80.50694618623794,[-0.07   0.335  0.092 -2.062 -0.03   2.248  0.857 -0.052 -0.04   0.073  0.011 -0.053 -0.067  0.052],
30,False,False,False,190.99893329544523,[-0.072  0.339  0.094 -2.06  -0.031  2.245  0.86  -0.06   0.121  0.069  0.062 -0.016 -0.077  0.073],
31,False,False,False,131.64308933322198,[-0.075  0.343  0.097 -2.058 -0.032  2.241  0.862 -0.068  0.096  0.057  0.04  -0.026 -0.071  0.053],
32,False,False,False,29.92324847624679,[-0.078  0.347  0.099 -2.056 -0.034  2.238  0.865 -0.063  0.09   0.055  0.05  -0.026 -0.077  0.048],
33,False,False,False,19.217283883804313,[-0.081  0.351  0.101 -2.054 -0.035  2.235  0.867 -0.067  0.094  0.06   0.046 -0.036 -0.067  0.056],
34,False,False,False,18.86948182386496,[-0.083  0.355  0.104 -2.052 -0.036  2.232  0.869 -0.063  0.097  0.058  0.047 -0.033 -0.08   0.054],
35,False,False,False,77.68164448155103,[-0.086  0.359  0.106 -2.051 -0.037  2.229  0.871 -0.027  0.161  0.074  0.046 -0.072  0.     0.048],
36,False,False,False,148.11243455029944,[-0.089  0.362  0.108 -2.049 -0.038  2.225  0.874 -0.066  0.087  0.054  0.042 -0.037 -0.076  0.046],
37,False,False,False,79.77488776805515,[-0.091  0.366  0.11  -2.047 -0.04   2.223  0.876 -0.066  0.092  0.056  0.047 -0.029 -0.07   0.065],
38,False,False,False,23.194762113440134,[-0.094  0.37   0.113 -2.045 -0.041  2.219  0.879 -0.064  0.086  0.058  0.047 -0.035 -0.079  0.055],
39,False,False,False,16.72696329598826,[-0.097  0.374  0.115 -2.043 -0.042  2.216  0.881 -0.062  0.091  0.055  0.052 -0.035 -0.069  0.058],
40,False,False,False,13.332831717865862,[-0.1    0.378  0.118 -2.041 -0.044  2.213  0.883 -0.07   0.093  0.052  0.046 -0.027 -0.069  0.055],
41,False,False,False,13.3079790900785,[-0.102  0.382  0.12  -2.039 -0.045  2.21   0.886 -0.066  0.092  0.058  0.053 -0.023 -0.065  0.054],
42,False,False,False,35.3957989291264,[-0.105  0.386  0.122 -2.037 -0.046  2.208  0.888 -0.052  0.053  0.07   0.042 -0.048 -0.065  0.033],
43,False,False,False,74.99604762388239,[-0.107  0.39   0.125 -2.035 -0.047  2.205  0.89  -0.061  0.108  0.063  0.06  -0.032 -0.082  0.054],
44,False,False,False,56.8348565027456,[-0.109  0.394  0.127 -2.033 -0.049  2.203  0.892 -0.062  0.105  0.065  0.055 -0.034 -0.04   0.059],
45,False,False,False,37.83706309220813,[-0.112  0.397  0.129 -2.031 -0.05   2.201  0.894 -0.062  0.101  0.062  0.057 -0.034 -0.057  0.062],
46,False,False,False,21.939251326998473,[-0.115  0.402  0.132 -2.028 -0.052  2.199  0.897 -0.073  0.105  0.054  0.057 -0.036 -0.044  0.06 ],
47,False,False,False,19.086951335194527,[-0.117  0.407  0.134 -2.026 -0.053  2.197  0.9   -0.064  0.111  0.055  0.054 -0.048 -0.046  0.063],
48,False,False,False,78.90295031021296,[-0.12   0.411  0.136 -2.023 -0.055  2.195  0.902 -0.055  0.01   0.071  0.026 -0.013 -0.084  0.08 ],
49,False,False,False,75.62442636048767,[-0.123  0.416  0.139 -2.021 -0.056  2.193  0.905 -0.06   0.005  0.063  0.001 -0.022 -0.082  0.064],
50,False,False,False,78.42589781495793,[-0.125  0.42   0.141 -2.02  -0.057  2.19   0.907 -0.063  0.109  0.055  0.033 -0.012 -0.082  0.051],
51,False,False,False,90.6436038184492,[-0.128  0.424  0.144 -2.018 -0.058  2.188  0.909 -0.048  0.08   0.056  0.033 -0.016 -0.042  0.034],
52,False,False,False,89.49566486186517,[-0.13   0.428  0.146 -2.017 -0.058  2.185  0.911 -0.051  0.15   0.06   0.081 -0.017 -0.072  0.073],
53,False,False,False,104.51467520277131,[-0.133  0.433  0.148 -2.015 -0.059  2.182  0.914 -0.052  0.091  0.057  0.042 -0.011 -0.073  0.057],
54,False,False,False,56.42874822070752,[-0.135  0.437  0.151 -2.013 -0.061  2.18   0.916 -0.055  0.098  0.053  0.05  -0.04  -0.061  0.058],
55,False,False,False,21.93749794722102,[-0.138  0.441  0.153 -2.011 -0.062  2.178  0.919 -0.062  0.103  0.052  0.059 -0.034 -0.047  0.054],
56,False,False,False,20.619060907918584,[-0.14   0.446  0.155 -2.009 -0.064  2.176  0.921 -0.063  0.117  0.056  0.059 -0.035 -0.056  0.067],
