t,success,grasped,has_collided,joint_jerks,proprioception
0,False,False,False,1.6495298957714661,[-0.013  0.231  0.014 -2.119 -0.008  2.333  0.805 -0.     0.001 -0.001  0.     0.002 -0.    -0.   ]
1,False,False,False,61.989903619954156,[-0.015  0.231  0.016 -2.12  -0.008  2.335  0.805 -0.053  0.008  0.06  -0.033 -0.016  0.04   0.004]
2,False,False,False,56.03950354822762,[-0.018  0.231  0.018 -2.122 -0.009  2.336  0.805 -0.068 -0.004  0.061 -0.042 -0.014  0.041 -0.001]
3,False,False,False,19.213717484167248,[-0.021  0.231  0.021 -2.124 -0.009  2.338  0.805 -0.067  0.001  0.043 -0.05  -0.02   0.039  0.   ]
4,False,False,False,20.786157746033915,[-0.024  0.231  0.023 -2.126 -0.01   2.34   0.805 -0.071  0.001  0.054 -0.046 -0.019  0.042 -0.002]
5,False,False,False,11.679434272969145,[-0.027  0.231  0.025 -2.128 -0.011  2.341  0.805 -0.063  0.001  0.054 -0.042 -0.016  0.047 -0.   ]
6,False,False,False,12.51255025252009,[-0.029  0.231  0.027 -2.129 -0.012  2.343  0.805 -0.063 -0.004  0.05  -0.044 -0.018  0.038  0.002]
7,False,False,False,10.897371399355468,[-0.032  0.231  0.029 -2.131 -0.012  2.344  0.805 -0.066 -0.001  0.051 -0.044 -0.012  0.039 -0.001]
8,False,False,False,10.126783196002489,[-0.035  0.23   0.031 -2.133 -0.013  2.346  0.805 -0.063  0.001  0.055 -0.047 -0.019  0.037 -0.001]
9,False,False,False,9.326206394224599,[-0.037  0.23   0.033 -2.135 -0.014  2.347  0.805 -0.06  -0.003  0.052 -0.043 -0.02   0.034  0.   ]
10,False,False,False,11.184260663286228,[-0.04   0.23   0.036 -2.137 -0.015  2.349  0.805 -0.068 -0.002  0.055 -0.045 -0.023  0.039  0.001]
11,False,False,False,27.83780455340336,[-0.043  0.23   0.038 -2.139 -0.016  2.351  0.805 -0.104  0.021  0.055 -0.037 -0.003  0.052  0.004]
12,False,False,False,57.087503398036894,[-0.046  0.23   0.04  -2.141 -0.017  2.352  0.805 -0.084 -0.014  0.053 -0.05  -0.015  0.044 -0.004]
13,False,False,False,36.4929620357358,[-0.048  0.23   0.042 -2.142 -0.017  2.354  0.805 -0.069  0.005  0.057 -0.046 -0.019  0.044 -0.002]
14,False,False,False,24.29060860635338,[-0.052  0.23   0.045 -2.144 -0.018  2.355  0.805 -0.074 -0.006  0.05  -0.051 -0.022  0.044  0.   ]
15,False,False,False,15.487872881103751,[-0.055  0.23   0.047 -2.147 -0.019  2.357  0.805 -0.074 -0.001  0.059 -0.051 -0.023  0.046  0.001]
16,False,False,False,7.338554198244418,[-0.058  0.229  0.05  -2.149 -0.02   2.359  0.805 -0.076 -0.002  0.063 -0.052 -0.022  0.04  -0.   ]
17,False,False,False,6.6984589516233015,[-0.061  0.229  0.052 -2.151 -0.021  2.361  0.805 -0.073 -0.005  0.064 -0.055 -0.018  0.042 -0.001]
18,False,False,False,5.545692085832745,[-0.064  0.229  0.055 -2.153 -0.022  2.363  0.805 -0.077 -0.008  0.065 -0.057 -0.018  0.042  0.   ]
