t,success,grasped,has_collided,joint_jerks,proprioception,trial time
0,False,False,False,0.8983133863682894,[-0.014  0.233  0.013 -2.116 -0.008  2.333  0.802 -0.001  0.    -0.    -0.     0.     0.     0.   ],
1,False,False,False,1.9254723994461358,[-0.014  0.233  0.013 -2.116 -0.008  2.333  0.802  0.     0.    -0.    -0.     0.     0.     0.001],
2,False,False,False,1.9259763313136784,[-0.014  0.233  0.013 -2.116 -0.008  2.333  0.802  0.     0.     0.    -0.001 -0.     0.    -0.001],
3,False,False,False,2.6159786726029277,[-0.014  0.233  0.013 -2.116 -0.008  2.333  0.802  0.001  0.001  0.     0.    -0.    -0.     0.001],
4,False,False,False,2.1408543366911967,[-0.014  0.233  0.013 -2.116 -0.008  2.333  0.802  0.    -0.001 -0.     0.     0.     0.     0.001],
5,False,False,False,1.672258196784256,[-0.014  0.233  0.013 -2.116 -0.008  2.333  0.802  0.    -0.    -0.    -0.001  0.     0.001  0.   ],
6,False,False,False,2.09723031533628,[-0.014  0.233  0.013 -2.116 -0.008  2.333  0.802  0.     0.002 -0.001  0.001 -0.     0.    -0.001],
7,False,False,False,3.4420904965217596,[-0.014  0.233  0.013 -2.116 -0.008  2.333  0.802 -0.001  0.     0.    -0.     0.     0.    -0.001],
8,False,False,False,1.9522928121672973,[-0.014  0.233  0.013 -2.116 -0.008  2.333  0.802  0.    -0.     0.001  0.     0.     0.    -0.001],
9,False,False,False,1.7432426577144882,[-0.014  0.233  0.013 -2.116 -0.008  2.333  0.802 -0.     0.     0.001  0.001  0.     0.    -0.001],
10,False,False,False,1.4440098133175747,[-0.014  0.233  0.013 -2.116 -0.008  2.333  0.802  0.     0.     0.     0.001  0.    -0.     0.001],
11,False,False,False,2.1871187806220105,[-0.014  0.233  0.013 -2.116 -0.008  2.333  0.802 -0.001 -0.     0.001 -0.    -0.     0.     0.001],
12,False,False,False,1.2628921637303998,[-0.014  0.233  0.013 -2.116 -0.008  2.333  0.802 -0.001  0.     0.    -0.    -0.     0.     0.   ],
13,False,False,False,2.298388163476584,[-0.014  0.233  0.013 -2.116 -0.008  2.333  0.802  0.001 -0.001  0.001  0.001 -0.     0.001 -0.001],
14,False,False,False,2.781548268631729,[-0.014  0.233  0.013 -2.116 -0.008  2.333  0.802  0.001 -0.    -0.001  0.     0.    -0.    -0.001],63.723257303237915
