t,success,grasped,has_collided,joint_jerks,proprioception
0,False,False,False,0.7322446009512142,[-0.013  0.232  0.014 -2.119 -0.008  2.333  0.805  0.     0.001 -0.    -0.001 -0.     0.     0.   ]
1,False,False,False,1.6951402660670094,[-0.013  0.232  0.014 -2.119 -0.008  2.333  0.805 -0.001  0.     0.001 -0.     0.     0.     0.   ]
2,False,False,False,2.1053133004063924,[-0.013  0.232  0.014 -2.119 -0.008  2.333  0.805  0.    -0.    -0.    -0.001  0.    -0.    -0.001]
3,False,False,False,4.210948651882085,[-0.013  0.232  0.014 -2.119 -0.008  2.333  0.805 -0.003 -0.001  0.     0.001  0.    -0.    -0.006]
4,False,False,False,4.139824089557663,[-0.013  0.232  0.014 -2.119 -0.008  2.333  0.805 -0.004 -0.001  0.     0.001 -0.004 -0.    -0.006]
5,False,False,False,6.284571383586909,[-0.013  0.232  0.014 -2.119 -0.008  2.333  0.805 -0.004  0.     0.    -0.009 -0.006 -0.    -0.006]
6,False,False,False,6.1694693263340605,[-0.013  0.232  0.014 -2.119 -0.008  2.333  0.805 -0.008  0.005  0.002 -0.013 -0.007 -0.    -0.001]
7,False,False,False,13.31915681283744,[-0.013  0.232  0.014 -2.119 -0.008  2.333  0.805 -0.003  0.012 -0.003 -0.011 -0.004 -0.004 -0.014]
8,False,False,False,13.372910574312955,[-0.014  0.233  0.014 -2.12  -0.008  2.332  0.804 -0.008  0.008 -0.004 -0.011 -0.008 -0.006 -0.013]
9,False,False,False,5.651538570335193,[-0.014  0.233  0.014 -2.12  -0.009  2.332  0.804 -0.009  0.008 -0.003 -0.011 -0.01  -0.008 -0.005]
10,False,False,False,9.028865555098985,[-0.014  0.234  0.013 -2.121 -0.009  2.332  0.804 -0.01   0.008 -0.006 -0.009 -0.005 -0.004 -0.007]
11,False,False,False,9.272584933130483,[-0.015  0.234  0.013 -2.121 -0.009  2.332  0.803 -0.011  0.013 -0.005 -0.01  -0.005 -0.011 -0.01 ]
12,False,False,False,5.775396719528567,[-0.015  0.234  0.013 -2.121 -0.01   2.331  0.803 -0.009  0.014 -0.003 -0.008 -0.008 -0.012 -0.012]
13,False,False,False,4.551866237439546,[-0.015  0.235  0.013 -2.122 -0.01   2.331  0.803 -0.008  0.014 -0.003 -0.009 -0.006 -0.007 -0.012]
14,False,False,False,7.2680886544652035,[-0.016  0.236  0.012 -2.122 -0.011  2.331  0.802 -0.006  0.014 -0.002 -0.01  -0.014 -0.008 -0.007]
15,False,False,False,12.737042330055752,[-0.016  0.236  0.012 -2.123 -0.011  2.33   0.802 -0.008  0.013 -0.    -0.014 -0.008 -0.005 -0.016]
16,False,False,False,11.750645002013504,[-0.016  0.237  0.012 -2.123 -0.012  2.33   0.802 -0.007  0.015 -0.003 -0.014 -0.011 -0.006 -0.01 ]
17,False,False,False,6.253630721160305,[-0.017  0.237  0.012 -2.124 -0.012  2.329  0.801 -0.007  0.02  -0.007 -0.012 -0.015 -0.013 -0.011]
18,False,False,False,11.895099718248257,[-0.017  0.238  0.011 -2.124 -0.013  2.329  0.801 -0.01   0.015 -0.005 -0.013 -0.009 -0.01  -0.013]
19,False,False,False,11.493195257267,[-0.017  0.239  0.011 -2.125 -0.013  2.329  0.8   -0.011  0.016 -0.009 -0.012 -0.016 -0.017 -0.016]
20,False,False,False,14.069266828738064,[-0.018  0.239  0.011 -2.126 -0.014  2.328  0.8   -0.009  0.016 -0.005 -0.012 -0.005 -0.013 -0.013]
21,False,False,False,14.33844053176612,[-0.018  0.24   0.011 -2.126 -0.014  2.328  0.799 -0.012  0.016 -0.007 -0.012 -0.015 -0.015 -0.015]
22,False,False,False,11.497024510727073,[-0.018  0.241  0.011 -2.127 -0.015  2.327  0.799 -0.008  0.016 -0.005 -0.011 -0.014 -0.015 -0.004]
23,False,False,False,13.651408558882999,[-0.019  0.241  0.01  -2.127 -0.015  2.327  0.798 -0.01   0.019 -0.007 -0.013 -0.018 -0.011 -0.013]
24,False,False,False,8.25537347528024,[-0.019  0.242  0.01  -2.128 -0.016  2.327  0.798 -0.011  0.019 -0.006 -0.012 -0.012 -0.012 -0.016]
25,False,False,False,7.8304788635219795,[-0.019  0.243  0.01  -2.129 -0.016  2.326  0.797 -0.01   0.017 -0.002 -0.013 -0.006 -0.015 -0.008]
26,False,False,False,14.35649315955448,[-0.02   0.244  0.01  -2.129 -0.017  2.326  0.797 -0.008  0.017 -0.005 -0.017 -0.015 -0.01  -0.011]
27,False,False,False,8.644268185317802,[-0.02   0.244  0.009 -2.13  -0.017  2.325  0.796 -0.011  0.014 -0.002 -0.016 -0.017 -0.01  -0.012]
28,False,False,False,9.144949933839515,[-0.02   0.245  0.009 -2.131 -0.018  2.325  0.796 -0.006  0.014  0.    -0.015 -0.009 -0.004 -0.011]
29,False,False,False,12.725971249039892,[-0.021  0.246  0.009 -2.131 -0.018  2.325  0.796 -0.006  0.017 -0.002 -0.014 -0.017 -0.007 -0.008]
30,False,False,False,13.007773142350022,[-0.021  0.246  0.009 -2.132 -0.019  2.324  0.795 -0.007  0.016 -0.008 -0.013 -0.006 -0.013 -0.01 ]
31,False,False,False,17.803515844852132,[-0.021  0.247  0.009 -2.132 -0.02   2.324  0.795 -0.007  0.013  0.001 -0.017 -0.019 -0.013 -0.013]
32,False,False,False,14.482303629759482,[-0.021  0.248  0.009 -2.133 -0.02   2.323  0.794 -0.01   0.018 -0.001 -0.017 -0.012 -0.012 -0.015]
33,False,False,False,8.719931264849128,[-0.022  0.249  0.009 -2.134 -0.021  2.323  0.794 -0.009  0.021 -0.002 -0.015 -0.018 -0.015 -0.01 ]
34,False,False,False,8.271255884160734,[-0.022  0.249  0.008 -2.134 -0.021  2.323  0.793 -0.012  0.02  -0.001 -0.015 -0.015 -0.011 -0.01 ]
35,False,False,False,8.10613467280589,[-0.022  0.25   0.008 -2.135 -0.022  2.322  0.793 -0.007  0.021  0.001 -0.02  -0.009 -0.014 -0.015]
36,False,False,False,12.875099491006306,[-0.022  0.251  0.008 -2.136 -0.022  2.322  0.792 -0.007  0.025 -0.002 -0.012 -0.012 -0.008 -0.013]
37,False,False,False,10.648480789308458,[-0.023  0.252  0.008 -2.136 -0.023  2.322  0.792 -0.004  0.019 -0.001 -0.016 -0.018 -0.007 -0.008]
38,False,False,False,11.917931077528431,[-0.023  0.253  0.008 -2.137 -0.023  2.321  0.791 -0.008  0.022  0.001 -0.013 -0.012 -0.006 -0.01 ]
39,False,False,False,9.19515904619483,[-0.023  0.253  0.008 -2.138 -0.024  2.321  0.791 -0.002  0.019  0.    -0.017 -0.011 -0.011 -0.012]
40,False,False,False,9.146389876791371,[-0.023  0.254  0.008 -2.138 -0.024  2.321  0.79  -0.     0.024 -0.    -0.016 -0.016 -0.011 -0.006]
41,False,False,False,12.178248604665253,[-0.023  0.255  0.008 -2.139 -0.025  2.321  0.79  -0.004  0.021 -0.001 -0.02  -0.017 -0.008 -0.015]
42,False,False,False,10.034395942356664,[-0.023  0.256  0.008 -2.14  -0.025  2.32   0.789 -0.001  0.022 -0.001 -0.017 -0.014 -0.005 -0.012]
43,False,False,False,5.116810877881246,[-0.024  0.257  0.008 -2.14  -0.026  2.32   0.789  0.001  0.02   0.001 -0.014 -0.017 -0.004 -0.014]
44,False,False,False,7.566907631091648,[-0.024  0.257  0.008 -2.141 -0.026  2.32   0.788 -0.001  0.022 -0.    -0.014 -0.01  -0.006 -0.011]
45,False,False,False,7.955447723371069,[-0.024  0.258  0.008 -2.142 -0.027  2.319  0.788 -0.005  0.02   0.    -0.019 -0.012 -0.012 -0.012]
46,False,False,False,11.305699949914768,[-0.024  0.259  0.008 -2.143 -0.027  2.319  0.787 -0.005  0.02  -0.001 -0.018 -0.011 -0.001 -0.014]
47,False,False,False,12.837619279321729,[-0.024  0.26   0.008 -2.143 -0.028  2.319  0.787 -0.002  0.015  0.    -0.019 -0.007 -0.009 -0.014]
48,False,False,False,13.558678042408845,[-0.024  0.26   0.008 -2.144 -0.028  2.319  0.786 -0.002  0.025  0.005 -0.013 -0.009 -0.005 -0.011]
49,False,False,False,15.248511883591469,[-0.024  0.261  0.008 -2.145 -0.029  2.318  0.786  0.     0.018 -0.001 -0.018 -0.009 -0.004 -0.016]
50,False,False,False,12.194981751023269,[-0.024  0.262  0.008 -2.145 -0.029  2.318  0.785 -0.     0.021  0.004 -0.018 -0.01  -0.006 -0.011]
51,False,False,False,10.257430581568364,[-0.024  0.263  0.009 -2.146 -0.029  2.318  0.785  0.002  0.019  0.003 -0.015 -0.012 -0.001 -0.018]
52,False,False,False,13.415042855225142,[-0.024  0.263  0.009 -2.147 -0.03   2.318  0.784 -0.     0.017  0.006 -0.016 -0.014 -0.002 -0.006]
53,False,False,False,12.3075661724137,[-0.024  0.264  0.009 -2.147 -0.03   2.317  0.784 -0.     0.02   0.004 -0.014 -0.012 -0.006 -0.01 ]
54,False,False,False,6.865286899617396,[-0.024  0.265  0.009 -2.148 -0.03   2.317  0.783 -0.001  0.019  0.005 -0.018 -0.008 -0.004 -0.015]
55,False,False,False,10.256597426024026,[-0.024  0.266  0.009 -2.149 -0.031  2.317  0.783  0.001  0.018  0.005 -0.019 -0.01  -0.01  -0.008]
56,False,False,False,11.825072616012005,[-0.024  0.267  0.009 -2.149 -0.031  2.317  0.782  0.     0.023  0.004 -0.016 -0.006 -0.001 -0.005]
57,False,False,False,12.709231363009874,[-0.024  0.267  0.01  -2.15  -0.031  2.317  0.782 -0.001  0.019  0.006 -0.017 -0.007 -0.005 -0.013]
58,False,False,False,8.935114771230685,[-0.024  0.268  0.01  -2.151 -0.032  2.317  0.781  0.     0.021  0.008 -0.018 -0.003 -0.001 -0.012]
59,False,False,False,7.850721086607537,[-0.024  0.269  0.01  -2.151 -0.032  2.316  0.781 -0.001  0.023  0.008 -0.016 -0.01  -0.    -0.013]
60,False,False,False,9.160513419129485,[-0.024  0.27   0.01  -2.152 -0.032  2.316  0.78   0.     0.018  0.002 -0.015 -0.006 -0.    -0.015]
61,False,False,False,11.392670287876252,[-0.024  0.271  0.011 -2.153 -0.032  2.316  0.78  -0.003  0.02   0.011 -0.017 -0.003 -0.    -0.012]
62,False,False,False,10.385406222350474,[-0.024  0.271  0.011 -2.153 -0.033  2.316  0.78  -0.001  0.021  0.008 -0.014 -0.009  0.    -0.012]
63,False,False,False,9.34338735930268,[-0.024  0.272  0.011 -2.154 -0.033  2.316  0.779 -0.001  0.019  0.005 -0.019 -0.003 -0.    -0.008]
64,False,False,False,9.295582167257797,[-0.024  0.273  0.011 -2.155 -0.033  2.316  0.779  0.     0.017  0.006 -0.019 -0.007  0.    -0.014]
65,False,False,False,6.197732153904967,[-0.025  0.274  0.012 -2.155 -0.033  2.316  0.778 -0.     0.021  0.007 -0.022 -0.005  0.    -0.016]
66,False,False,False,9.564996427448234,[-0.025  0.274  0.012 -2.156 -0.034  2.316  0.778 -0.003  0.019  0.008 -0.013 -0.005 -0.    -0.014]
67,False,False,False,10.658030801424992,[-0.025  0.275  0.012 -2.157 -0.034  2.316  0.778 -0.     0.021  0.008 -0.018 -0.006  0.001 -0.008]
68,False,False,False,9.732676202256467,[-0.025  0.276  0.012 -2.158 -0.034  2.316  0.777 -0.003  0.019  0.008 -0.014 -0.012  0.    -0.011]
69,False,False,False,11.604114351954092,[-0.025  0.277  0.013 -2.158 -0.034  2.317  0.777 -0.002  0.018  0.006 -0.016 -0.005  0.012 -0.011]
70,False,False,False,14.607005575558764,[-0.025  0.277  0.013 -2.159 -0.035  2.317  0.776 -0.     0.021  0.011 -0.021 -0.003  0.003 -0.004]
71,False,False,False,14.014057336580116,[-0.025  0.278  0.013 -2.159 -0.035  2.317  0.776 -0.003  0.02   0.009 -0.017 -0.008  0.009 -0.003]
72,False,False,False,11.638144572483018,[-0.025  0.279  0.014 -2.16  -0.035  2.317  0.776  0.     0.023  0.004 -0.015 -0.009  0.001 -0.009]
73,False,False,False,16.93154212060274,[-0.025  0.28   0.014 -2.161 -0.035  2.318  0.775 -0.001  0.02   0.004 -0.013 -0.001  0.013 -0.003]
74,False,False,False,16.441172214745563,[-0.025  0.281  0.014 -2.161 -0.035  2.318  0.775 -0.003  0.023  0.008 -0.014 -0.01   0.008 -0.002]
75,False,False,False,13.168223647769688,[-0.025  0.282  0.014 -2.162 -0.036  2.318  0.775 -0.004  0.021  0.008 -0.017 -0.002  0.005 -0.01 ]
76,False,False,False,11.040129461854068,[-0.025  0.282  0.015 -2.162 -0.036  2.318  0.774 -0.002  0.023  0.008 -0.021 -0.001  0.014 -0.009]
77,False,False,False,13.02529126927895,[-0.025  0.283  0.015 -2.163 -0.036  2.319  0.774 -0.001  0.02   0.007 -0.014 -0.001  0.007 -0.014]
78,False,False,False,11.838775182791295,[-0.025  0.284  0.015 -2.164 -0.036  2.319  0.774 -0.002  0.019  0.005 -0.017 -0.006  0.01  -0.008]
79,False,False,False,8.275480845068335,[-0.025  0.285  0.016 -2.164 -0.037  2.32   0.773 -0.002  0.021  0.009 -0.013 -0.008  0.006 -0.007]
80,False,False,False,8.37336278872691,[-0.025  0.285  0.016 -2.165 -0.037  2.32   0.773 -0.     0.019  0.004 -0.014 -0.003  0.005 -0.004]
