t,success,grasped,has_collided,joint_jerks,proprioception
39,False,False,False,11.42409768774142,[-0.009  0.253  0.021 -2.139 -0.017  2.328  0.785  0.002  0.021  0.006 -0.017  0.    -0.007 -0.017]
40,False,False,False,11.706847139282745,[-0.009  0.254  0.022 -2.139 -0.018  2.328  0.785  0.005  0.018  0.006 -0.013 -0.001 -0.004 -0.009]
41,False,False,False,10.071548074997732,[-0.009  0.255  0.022 -2.14  -0.018  2.328  0.784  0.007  0.027  0.01  -0.018  0.    -0.004 -0.005]
42,False,False,False,10.633146610958573,[-0.008  0.255  0.022 -2.141 -0.018  2.328  0.784  0.007  0.022  0.013 -0.015 -0.003 -0.004 -0.003]
43,False,False,False,8.428802157845878,[-0.008  0.256  0.023 -2.141 -0.018  2.327  0.784  0.002  0.016  0.012 -0.017 -0.002 -0.002 -0.01 ]
44,False,False,False,11.994921068815135,[-0.008  0.257  0.023 -2.142 -0.018  2.327  0.783  0.01   0.014  0.009 -0.018 -0.007 -0.003 -0.007]
45,False,False,False,12.799056189542334,[-0.008  0.258  0.023 -2.143 -0.018  2.327  0.783  0.011  0.018  0.012 -0.018 -0.002 -0.015 -0.013]
46,False,False,False,17.732608309218584,[-0.007  0.258  0.024 -2.144 -0.018  2.327  0.782  0.01   0.021  0.012 -0.017 -0.002 -0.002 -0.006]
47,False,False,False,16.4563407293609,[-0.007  0.259  0.024 -2.144 -0.018  2.327  0.782  0.006  0.017  0.006 -0.017 -0.    -0.006 -0.016]
48,False,False,False,11.80610716806075,[-0.007  0.26   0.025 -2.145 -0.019  2.326  0.782  0.003  0.017  0.009 -0.018 -0.001 -0.002 -0.012]
49,False,False,False,7.423869812372847,[-0.006  0.261  0.025 -2.146 -0.019  2.326  0.781  0.006  0.02   0.008 -0.014  0.001 -0.002 -0.011]
50,False,False,False,6.474974303188444,[-0.006  0.261  0.025 -2.146 -0.019  2.326  0.781  0.007  0.018  0.007 -0.016 -0.    -0.001 -0.005]
51,False,False,False,9.746554382118212,[-0.006  0.262  0.026 -2.147 -0.019  2.326  0.781  0.01   0.025  0.009 -0.016 -0.    -0.002 -0.011]
52,False,False,False,10.644567442211235,[-0.005  0.263  0.026 -2.148 -0.019  2.326  0.781  0.007  0.02   0.014 -0.018  0.001 -0.002 -0.008]
53,False,False,False,7.7600695449151305,[-0.005  0.264  0.026 -2.149 -0.019  2.326  0.78   0.004  0.016  0.008 -0.023  0.    -0.    -0.005]
54,False,False,False,10.00607128337823,[-0.005  0.265  0.027 -2.149 -0.019  2.326  0.78   0.005  0.018  0.01  -0.017 -0.    -0.001 -0.007]
55,False,False,False,4.284479973997866,[-0.004  0.265  0.027 -2.15  -0.019  2.326  0.78   0.006  0.021  0.013 -0.017  0.    -0.    -0.011]
56,False,False,False,8.360407142135488,[-0.004  0.266  0.028 -2.151 -0.019  2.325  0.78   0.008  0.021  0.013 -0.017 -0.    -0.    -0.001]
57,False,False,False,10.005073717023635,[-0.004  0.267  0.028 -2.151 -0.019  2.325  0.779  0.006  0.016  0.011 -0.014 -0.    -0.    -0.006]
58,False,False,False,9.768043898745368,[-0.003  0.268  0.029 -2.152 -0.019  2.325  0.779  0.009  0.02   0.008 -0.02   0.     0.    -0.003]
59,False,False,False,6.962389975442424,[-0.003  0.269  0.029 -2.153 -0.019  2.325  0.779  0.01   0.022  0.012 -0.019 -0.    -0.    -0.   ]
60,False,False,False,5.513822019408138,[-0.003  0.269  0.03  -2.153 -0.019  2.325  0.779  0.011  0.02   0.012 -0.023 -0.001  0.     0.   ]
61,False,False,False,8.984610266515691,[-0.002  0.27   0.03  -2.154 -0.019  2.325  0.779  0.007  0.016  0.009 -0.017  0.004  0.    -0.005]
62,False,False,False,10.711302184760298,[-0.002  0.271  0.031 -2.155 -0.018  2.325  0.779  0.01   0.018  0.014 -0.019  0.003  0.    -0.005]
63,False,False,False,4.407629663742437,[-0.002  0.272  0.031 -2.156 -0.018  2.325  0.778  0.012  0.022  0.014 -0.019  0.002  0.    -0.003]
64,False,False,False,5.770592307030446,[-0.001  0.272  0.032 -2.156 -0.018  2.325  0.778  0.01   0.02   0.014 -0.017  0.005 -0.    -0.   ]
65,False,False,False,7.429839849713006,[-0.001  0.273  0.032 -2.157 -0.018  2.326  0.778  0.011  0.022  0.015 -0.022  0.002  0.     0.   ]
66,False,False,False,10.7990930122483,[-0.     0.274  0.033 -2.158 -0.018  2.326  0.778  0.01   0.015  0.016 -0.016  0.006  0.006  0.   ]
67,False,False,False,7.971750242405046,[-0.     0.275  0.033 -2.158 -0.018  2.326  0.778  0.012  0.017  0.013 -0.015  0.007  0.007 -0.001]
68,False,False,False,8.308541675483875,[ 0.     0.275  0.034 -2.159 -0.018  2.326  0.778  0.006  0.018  0.014 -0.02   0.001  0.005 -0.003]
69,False,False,False,8.536860608740431,[ 0.001  0.276  0.034 -2.16  -0.017  2.326  0.778  0.004  0.021  0.016 -0.017  0.004  0.001 -0.002]
70,False,False,False,6.362050463372352,[ 0.001  0.277  0.035 -2.16  -0.017  2.327  0.778  0.007  0.021  0.017 -0.014  0.003  0.002 -0.   ]
71,False,False,False,5.177372024224442,[ 0.001  0.278  0.035 -2.161 -0.017  2.327  0.778  0.004  0.02   0.016 -0.014  0.004  0.002  0.   ]
72,False,False,False,5.800760827699123,[ 0.002  0.279  0.036 -2.162 -0.017  2.327  0.778  0.007  0.023  0.011 -0.014  0.004  0.004  0.001]
73,False,False,False,8.228382606223384,[ 0.002  0.28   0.036 -2.162 -0.017  2.327  0.778  0.008  0.022  0.017 -0.016  0.005  0.008  0.001]
74,False,False,False,8.7852228146413,[ 0.002  0.28   0.037 -2.163 -0.016  2.328  0.778  0.012  0.02   0.011 -0.014  0.007  0.007 -0.002]
75,False,False,False,11.688658304196888,[ 0.003  0.281  0.037 -2.164 -0.016  2.328  0.778  0.007  0.024  0.014 -0.018  0.002  0.013  0.   ]
76,False,False,False,13.41711925132214,[ 0.003  0.282  0.038 -2.165 -0.016  2.328  0.778  0.008  0.022  0.008 -0.015  0.006  0.007 -0.004]
