t,success,grasped,has_collided,joint_jerks,proprioception,trial time
0,False,False,False,1.126800412838075,[-0.015  0.235  0.016 -2.113 -0.008  2.326  0.809 -0.    -0.001  0.002 -0.     0.     0.    -0.   ],
1,False,False,False,1.6266645829199593,[-0.015  0.235  0.016 -2.113 -0.008  2.326  0.809 -0.    -0.001  0.001  0.     0.    -0.     0.001],
2,False,False,False,9.167354282000586,[-0.014  0.235  0.016 -2.113 -0.008  2.326  0.809  0.01   0.008  0.     0.     0.001  0.001  0.001],
3,False,False,False,13.020110649024407,[-0.014  0.235  0.016 -2.113 -0.008  2.326  0.809  0.004  0.022  0.011 -0.     0.007  0.    -0.   ],
4,False,False,False,7.134863302273214,[-0.014  0.236  0.016 -2.113 -0.008  2.326  0.809  0.006  0.037  0.021  0.002  0.021  0.    -0.002],
5,False,False,False,6.505455030259006,[-0.014  0.238  0.018 -2.113 -0.006  2.326  0.809  0.013  0.059  0.033 -0.     0.033 -0.001 -0.009],
6,False,False,False,11.408660279297907,[-0.013  0.241  0.019 -2.113 -0.005  2.326  0.808  0.012  0.078  0.037  0.001  0.045 -0.009 -0.002],
7,False,False,False,11.884352922354033,[-0.013  0.245  0.021 -2.113 -0.003  2.325  0.808  0.017  0.088  0.039  0.001  0.047 -0.005  0.   ],
8,False,False,False,9.578061364600673,[-0.012  0.248  0.022 -2.113 -0.001  2.325  0.808  0.015  0.094  0.046  0.     0.059 -0.007 -0.002],
9,False,False,False,10.457699387321014,[-0.011  0.252  0.024 -2.113  0.001  2.325  0.808  0.019  0.1    0.051  0.002  0.058 -0.003 -0.   ],
10,False,False,False,9.617760274221444,[-0.011  0.257  0.026 -2.113  0.004  2.325  0.808  0.019  0.113  0.052  0.001  0.067 -0.003 -0.001],
11,False,False,False,3.7925540390455508,[-0.01   0.261  0.028 -2.113  0.007  2.324  0.808  0.017  0.128  0.051  0.001  0.072 -0.003 -0.   ],
12,False,False,False,12.223783195989185,[-0.01   0.265  0.03  -2.113  0.009  2.324  0.808  0.012  0.126  0.056 -0.001  0.074 -0.    -0.001],
13,False,False,False,12.261428642263605,[-0.009  0.272  0.033 -2.113  0.013  2.324  0.807  0.009  0.138  0.057 -0.008  0.085  0.001 -0.009],
14,False,False,False,15.452630487343525,[-0.009  0.277  0.035 -2.114  0.016  2.325  0.807  0.002  0.138  0.061 -0.003  0.08   0.007 -0.017],
15,False,False,False,18.327817046984954,[-0.009  0.283  0.037 -2.114  0.02   2.325  0.807 -0.     0.145  0.056 -0.01   0.094  0.016 -0.011],
16,False,False,False,19.52037319759007,[-0.009  0.289  0.039 -2.115  0.023  2.326  0.806 -0.003  0.16   0.056 -0.008  0.082  0.016 -0.012],
17,False,False,False,22.258771831559205,[-0.009  0.295  0.042 -2.115  0.027  2.327  0.806 -0.01   0.156  0.052 -0.015  0.085  0.039 -0.009],
18,False,False,False,7.690581533463874,[-0.01   0.301  0.043 -2.116  0.03   2.329  0.805 -0.017  0.157  0.05  -0.02   0.084  0.053 -0.009],
19,False,False,False,8.252173573860153,[-0.011  0.308  0.045 -2.117  0.033  2.331  0.805 -0.024  0.16   0.047 -0.014  0.084  0.059 -0.009],
20,False,False,False,13.29965494833111,[-0.012  0.315  0.047 -2.117  0.036  2.334  0.805 -0.026  0.17   0.035 -0.018  0.077  0.075 -0.003],
21,False,False,False,18.335658801504728,[-0.013  0.321  0.048 -2.118  0.039  2.337  0.804 -0.043  0.164  0.03  -0.017  0.068  0.079 -0.01 ],
22,False,False,False,15.48264805425163,[-0.015  0.328  0.05  -2.119  0.042  2.34   0.804 -0.048  0.168  0.025 -0.009  0.063  0.092 -0.002],
23,False,False,False,8.967326610649387,[-0.017  0.335  0.05  -2.119  0.045  2.344  0.804 -0.051  0.169  0.018  0.     0.068  0.104 -0.002],
24,False,False,False,13.64367520187147,[-0.019  0.342  0.051 -2.119  0.047  2.348  0.804 -0.061  0.174  0.014  0.002  0.061  0.103 -0.   ],
25,False,False,False,7.650237299868098,[-0.022  0.349  0.051 -2.119  0.049  2.352  0.804 -0.065  0.175  0.005 -0.001  0.047  0.107  0.001],
26,False,False,False,13.614110022541675,[-0.024  0.356  0.052 -2.119  0.051  2.357  0.804 -0.072  0.176 -0.001  0.014  0.04   0.12   0.001],
27,False,False,False,11.819307106868921,[-0.027  0.363  0.051 -2.118  0.053  2.362  0.804 -0.074  0.177 -0.005  0.015  0.035  0.122  0.   ],
