t,success,grasped,has_collided,joint_jerks,proprioception
0,False,False,False,0.8706775264690318,[-0.016  0.232  0.014 -2.118 -0.008  2.334  0.802  0.001  0.     0.    -0.001  0.    -0.     0.   ]
1,False,False,False,2.2448445049086407,[-0.016  0.232  0.014 -2.118 -0.008  2.334  0.802 -0.    -0.    -0.    -0.001 -0.001  0.    -0.002]
2,False,False,False,51.67754470637039,[-0.014  0.232  0.013 -2.12  -0.008  2.335  0.802  0.048  0.003 -0.039 -0.037  0.023  0.032  0.001]
3,False,False,False,51.70172608658657,[-0.012  0.232  0.011 -2.122 -0.007  2.337  0.802  0.05  -0.001 -0.036 -0.043  0.011  0.037  0.001]
4,False,False,False,45.488831769048616,[-0.01   0.231  0.01  -2.123 -0.007  2.338  0.802  0.04  -0.029 -0.038 -0.086  0.005 -0.014 -0.   ]
5,False,False,False,94.57728302591688,[-0.008  0.232  0.008 -2.125 -0.006  2.34   0.802  0.044 -0.001 -0.046 -0.04   0.018  0.04   0.001]
6,False,False,False,66.0129247146838,[-0.006  0.231  0.007 -2.127 -0.006  2.341  0.802  0.02  -0.008 -0.037 -0.04   0.027  0.013  0.002]
7,False,False,False,44.1989879602689,[-0.004  0.232  0.005 -2.128 -0.005  2.343  0.802  0.044 -0.009 -0.042 -0.041  0.02   0.034 -0.001]
8,False,False,False,18.52961869023238,[-0.002  0.232  0.003 -2.13  -0.005  2.345  0.802  0.049 -0.003 -0.038 -0.043  0.017  0.035  0.001]
9,False,False,False,25.31928671447323,[-0.     0.231  0.002 -2.132 -0.004  2.346  0.802  0.06  -0.013 -0.043 -0.064 -0.003  0.059 -0.004]
10,False,False,False,51.87217829736186,[ 0.001  0.232  0.    -2.133 -0.004  2.348  0.802  0.047 -0.001 -0.033 -0.042  0.013  0.035 -0.005]
11,False,False,False,26.276868865859118,[ 0.003  0.231 -0.001 -2.135 -0.003  2.349  0.802  0.042  0.002 -0.043 -0.045  0.021  0.032  0.   ]
12,False,False,False,33.998118471107105,[ 0.005  0.231 -0.003 -2.137 -0.002  2.351  0.802  0.054  0.004 -0.062 -0.089  0.002  0.034 -0.008]
13,False,False,False,67.45167312102282,[ 0.007  0.231 -0.004 -2.139 -0.002  2.353  0.802  0.063  0.019 -0.031 -0.041 -0.003  0.044 -0.   ]
14,False,False,False,52.875119195467235,[ 0.009  0.231 -0.006 -2.14  -0.001  2.354  0.803  0.048 -0.005 -0.042 -0.04   0.019  0.045  0.001]
15,False,False,False,23.194107456605206,[ 0.011  0.231 -0.008 -2.142 -0.001  2.356  0.802  0.027 -0.015 -0.045 -0.047  0.011  0.043 -0.002]
16,False,False,False,40.79787622989673,[ 0.014  0.231 -0.009 -2.144 -0.     2.358  0.803  0.061  0.007 -0.043 -0.048  0.012  0.047  0.   ]
17,False,False,False,29.006433366555115,[ 0.016  0.231 -0.011 -2.146  0.001  2.36   0.803  0.058  0.005 -0.037 -0.05  -0.001  0.043  0.002]
18,False,False,False,25.800885914190545,[ 0.018  0.231 -0.013 -2.148  0.001  2.362  0.803  0.056  0.006 -0.046 -0.042  0.019  0.055 -0.008]
19,False,False,False,23.402101811122765,[ 0.02   0.231 -0.015 -2.15   0.002  2.364  0.803  0.053  0.    -0.043 -0.048  0.014  0.056 -0.   ]
20,False,False,False,15.971411606936488,[ 0.023  0.231 -0.017 -2.152  0.002  2.366  0.803  0.064  0.    -0.045 -0.051  0.023  0.045 -0.   ]
21,False,False,False,12.76850777090645,[ 0.025  0.231 -0.019 -2.154  0.003  2.368  0.803  0.063 -0.001 -0.049 -0.053  0.021  0.046  0.001]
22,False,False,False,31.209815446894382,[ 0.028  0.231 -0.021 -2.157  0.004  2.37   0.803  0.043 -0.019 -0.058 -0.055  0.053  0.021  0.004]
23,False,False,False,70.62474502058889,[ 0.031  0.231 -0.023 -2.159  0.005  2.372  0.803  0.061 -0.001 -0.057 -0.055  0.006  0.054 -0.006]
24,False,False,False,49.03602621762017,[ 0.033  0.231 -0.025 -2.161  0.005  2.374  0.803  0.063  0.002 -0.051 -0.058  0.021  0.05   0.   ]
25,False,False,False,14.558834078629415,[ 0.036  0.231 -0.027 -2.163  0.006  2.376  0.803  0.063 -0.003 -0.05  -0.058  0.019  0.054 -0.001]
26,False,False,False,7.354304133344636,[ 0.038  0.231 -0.029 -2.166  0.007  2.378  0.803  0.067 -0.005 -0.052 -0.06   0.02   0.049 -0.   ]
27,False,False,False,10.857942664790986,[ 0.041  0.231 -0.032 -2.168  0.008  2.381  0.803  0.068 -0.001 -0.052 -0.057  0.014  0.057 -0.001]
28,False,False,False,7.422755574703658,[ 0.044  0.231 -0.034 -2.171  0.008  2.383  0.803  0.07   0.001 -0.058 -0.06   0.009  0.057 -0.   ]
29,False,False,False,6.875741756289087,[ 0.047  0.23  -0.036 -2.173  0.009  2.385  0.803  0.071 -0.001 -0.061 -0.061  0.015  0.056 -0.001]
30,False,False,False,7.713383811849704,[ 0.05   0.23  -0.039 -2.176  0.01   2.387  0.803  0.067 -0.001 -0.053 -0.059  0.021  0.056 -0.   ]
31,False,False,False,10.103161165596784,[ 0.053  0.23  -0.041 -2.178  0.011  2.39   0.803  0.072 -0.006 -0.055 -0.058  0.02   0.054  0.001]
32,False,False,False,10.547044113970882,[ 0.056  0.23  -0.043 -2.181  0.012  2.392  0.803  0.069 -0.001 -0.05  -0.059  0.015  0.057 -0.001]
33,False,False,False,9.727073667328847,[ 0.058  0.23  -0.046 -2.183  0.012  2.394  0.803  0.071  0.001 -0.05  -0.059  0.023  0.056  0.   ]
34,False,False,False,8.839785703803974,[ 0.061  0.23  -0.048 -2.186  0.013  2.397  0.803  0.074 -0.001 -0.056 -0.062  0.019  0.056 -0.001]
35,False,False,False,7.6203975535006805,[ 0.064  0.23  -0.05  -2.188  0.014  2.399  0.803  0.068 -0.002 -0.057 -0.061  0.015  0.062 -0.001]
36,False,False,False,6.203095821161141,[ 0.067  0.23  -0.052 -2.19   0.015  2.401  0.803  0.061 -0.006 -0.052 -0.062  0.016  0.063  0.001]
37,False,False,False,13.992553348358186,[ 0.07   0.23  -0.055 -2.193  0.016  2.404  0.803  0.066  0.001 -0.058 -0.059  0.018  0.055  0.   ]
38,False,False,False,9.147917316564088,[ 0.072  0.23  -0.057 -2.195  0.016  2.406  0.803  0.067  0.    -0.055 -0.056  0.017  0.053 -0.   ]
39,False,False,False,4.983531727581214,[ 0.075  0.23  -0.059 -2.198  0.017  2.408  0.803  0.068 -0.002 -0.05  -0.056  0.016  0.058  0.001]
40,False,False,False,9.710017859844813,[ 0.078  0.23  -0.061 -2.2    0.018  2.411  0.803  0.069  0.    -0.055 -0.052  0.019  0.053 -0.   ]
41,False,False,False,10.33005726564859,[ 0.081  0.229 -0.063 -2.202  0.019  2.413  0.803  0.06  -0.001 -0.051 -0.051  0.028  0.055  0.001]
42,False,False,False,14.968222077214932,[ 0.083  0.229 -0.065 -2.205  0.019  2.415  0.803  0.057  0.    -0.052 -0.057  0.015  0.055  0.001]
43,False,False,False,10.62589466964819,[ 0.086  0.229 -0.067 -2.207  0.02   2.417  0.803  0.054 -0.002 -0.046 -0.049  0.01   0.053  0.001]
44,False,False,False,9.246583553806477,[ 0.088  0.229 -0.069 -2.209  0.021  2.419  0.803  0.055 -0.001 -0.045 -0.049  0.017  0.052 -0.002]
45,False,False,False,9.830413490276587,[ 0.091  0.229 -0.071 -2.211  0.021  2.421  0.803  0.055 -0.    -0.044 -0.05   0.009  0.051  0.001]
46,False,False,False,8.666249232777265,[ 0.093  0.229 -0.073 -2.213  0.022  2.423  0.803  0.056  0.002 -0.043 -0.049  0.013  0.046 -0.002]
47,False,False,False,16.079060331498077,[ 0.095  0.229 -0.075 -2.215  0.023  2.425  0.803  0.04   0.004 -0.03  -0.05   0.013  0.028 -0.   ]
48,False,False,False,32.66894429895536,[ 0.097  0.229 -0.077 -2.217  0.023  2.426  0.803  0.046 -0.014 -0.046 -0.05   0.011  0.039 -0.007]
49,False,False,False,27.45000932501797,[ 0.099  0.229 -0.079 -2.219  0.024  2.428  0.803  0.054 -0.001 -0.038 -0.041  0.01   0.042  0.001]
50,False,False,False,16.211342585499803,[ 0.102  0.229 -0.08  -2.221  0.024  2.43   0.803  0.047 -0.001 -0.037 -0.042  0.012  0.034  0.   ]
51,False,False,False,23.27552877778361,[ 0.104  0.229 -0.081 -2.221  0.025  2.431  0.803  0.038  0.009 -0.025 -0.009  0.012  0.025  0.001]
52,False,False,False,16.844455322301666,[ 0.105  0.23  -0.082 -2.221  0.026  2.432  0.803  0.04   0.02  -0.024  0.003  0.019  0.021 -0.   ]
53,False,False,False,16.052646171355303,[ 0.107  0.231 -0.083 -2.221  0.026  2.433  0.803  0.035  0.015 -0.025 -0.001  0.016  0.018 -0.   ]
54,False,False,False,12.653555769108307,[ 0.108  0.232 -0.084 -2.222  0.027  2.434  0.803  0.034  0.026 -0.026  0.     0.017  0.025  0.001]
55,False,False,False,13.05139657072592,[ 0.11   0.233 -0.085 -2.222  0.028  2.435  0.803  0.037  0.023 -0.026 -0.005  0.019  0.02  -0.   ]
56,False,False,False,11.91101207162796,[ 0.111  0.234 -0.086 -2.222  0.028  2.436  0.803  0.032  0.021 -0.024 -0.002  0.013  0.026 -0.   ]
