t,success,grasped,has_collided,joint_jerks,proprioception,trial time
0,False,False,False,1.371030588224106,[-0.051  0.236  0.053 -2.109 -0.021  2.323  0.818 -0.001 -0.001 -0.     0.001 -0.     0.     0.001],
1,False,False,False,2.8258089788991754,[-0.051  0.236  0.053 -2.109 -0.021  2.323  0.818 -0.    -0.    -0.    -0.     0.    -0.    -0.   ],
2,False,False,False,3.463994775895629,[-0.051  0.236  0.053 -2.109 -0.021  2.323  0.818 -0.001  0.    -0.004 -0.001  0.     0.     0.001],
3,False,False,False,11.057528901437145,[-0.051  0.236  0.053 -2.109 -0.021  2.323  0.817 -0.007  0.011 -0.007 -0.001  0.001 -0.003 -0.009],
4,False,False,False,12.01851296695408,[-0.052  0.237  0.053 -2.109 -0.021  2.323  0.817 -0.013  0.013 -0.012 -0.003 -0.007 -0.006 -0.005],
5,False,False,False,9.506968613462547,[-0.052  0.237  0.052 -2.11  -0.021  2.322  0.817 -0.02   0.02  -0.011 -0.008 -0.009 -0.014 -0.011],
6,False,False,False,13.559106216310452,[-0.053  0.238  0.052 -2.11  -0.022  2.322  0.817 -0.018  0.021 -0.013 -0.01  -0.024 -0.013 -0.007],
7,False,False,False,12.26416632085308,[-0.054  0.239  0.051 -2.11  -0.023  2.322  0.816 -0.024  0.031 -0.018 -0.008 -0.028 -0.005 -0.012],
8,False,False,False,14.52710161921791,[-0.055  0.241  0.05  -2.111 -0.024  2.321  0.816 -0.034  0.03  -0.022 -0.006 -0.025 -0.013 -0.007],
9,False,False,False,8.935024208157698,[-0.056  0.242  0.049 -2.111 -0.024  2.321  0.816 -0.037  0.037 -0.027 -0.013 -0.024 -0.02  -0.007],
10,False,False,False,11.551261313608666,[-0.058  0.244  0.048 -2.112 -0.026  2.32   0.815 -0.037  0.033 -0.029 -0.011 -0.023 -0.016 -0.01 ],
11,False,False,False,8.240751271496732,[-0.059  0.245  0.047 -2.112 -0.027  2.32   0.815 -0.036  0.04  -0.029 -0.012 -0.021 -0.016 -0.018],
12,False,False,False,13.473227289678682,[-0.061  0.247  0.046 -2.113 -0.028  2.319  0.814 -0.035  0.043 -0.034 -0.012 -0.038 -0.015 -0.02 ],
13,False,False,False,15.826270463710165,[-0.062  0.248  0.044 -2.113 -0.029  2.318  0.813 -0.04   0.043 -0.032 -0.013 -0.033 -0.018 -0.015],
14,False,False,False,8.461395615013764,[-0.064  0.251  0.043 -2.114 -0.031  2.317  0.813 -0.041  0.047 -0.036 -0.013 -0.037 -0.021 -0.016],
