t,success,grasped,has_collided,joint_jerks,proprioception,trial time
0,False,False,False,1.4594825341838729,[-0.028  0.237  0.029 -2.109 -0.013  2.323  0.813 -0.001 -0.     0.001 -0.001  0.     0.    -0.002],
1,False,False,False,2.732736493065133,[-0.028  0.237  0.029 -2.109 -0.013  2.323  0.813  0.     0.001 -0.    -0.    -0.     0.    -0.001],
2,False,False,False,2.551198019538472,[-0.028  0.237  0.029 -2.109 -0.013  2.323  0.813 -0.001  0.001 -0.001  0.002  0.    -0.003 -0.001],
3,False,False,False,8.460109576412579,[-0.028  0.237  0.029 -2.109 -0.013  2.323  0.813 -0.005  0.008 -0.004 -0.005  0.001 -0.    -0.002],
4,False,False,False,6.212230594197557,[-0.028  0.237  0.029 -2.11  -0.013  2.323  0.813 -0.009  0.015 -0.013 -0.008 -0.005 -0.001 -0.007],
5,False,False,False,7.097118391305917,[-0.028  0.238  0.028 -2.11  -0.013  2.322  0.813 -0.016  0.023 -0.014 -0.01  -0.007 -0.007 -0.007],
6,False,False,False,6.067598355514604,[-0.029  0.239  0.028 -2.111 -0.014  2.322  0.812 -0.016  0.029 -0.014 -0.014 -0.014 -0.01  -0.008],
7,False,False,False,5.22449680971758,[-0.03   0.241  0.027 -2.111 -0.014  2.321  0.812 -0.015  0.04  -0.017 -0.02  -0.017 -0.017 -0.011],
8,False,False,False,11.911166021970597,[-0.03   0.242  0.026 -2.112 -0.015  2.321  0.811 -0.018  0.048 -0.024 -0.02  -0.005 -0.018 -0.017],
9,False,False,False,12.448790334673838,[-0.031  0.244  0.025 -2.113 -0.015  2.32   0.811 -0.028  0.047 -0.024 -0.022 -0.004 -0.026 -0.019],
10,False,False,False,13.245021304813648,[-0.032  0.245  0.024 -2.114 -0.016  2.319  0.81  -0.034  0.049 -0.031 -0.024 -0.013 -0.019 -0.02 ],
11,False,False,False,13.448942002465554,[-0.034  0.248  0.023 -2.115 -0.016  2.318  0.81  -0.028  0.052 -0.03  -0.025 -0.009 -0.02  -0.017],
12,False,False,False,10.569420873242283,[-0.035  0.249  0.022 -2.116 -0.017  2.317  0.809 -0.033  0.059 -0.029 -0.023 -0.014 -0.022 -0.006],
13,False,False,False,14.656816452548645,[-0.036  0.252  0.02  -2.117 -0.017  2.316  0.808 -0.036  0.062 -0.025 -0.027 -0.009 -0.029 -0.014],
