x,Cartesian Increment_mean,Cartesian Increment_stderr,Velocity_mean,Velocity_stderr,Position Increment_mean,Position Increment_stderr,Torque_mean,Torque_stderr
95590.4,1235.512648010254,15.000837719867015,160.1687873840332,0.5720186938679945,563.2263256496854,1.5672475712888536,1588.7286818070845,5.561598876687259
245811.19999999998,1165.9333339146206,11.05870181944069,161.03478001185823,0.561433562417969,549.5337463378906,3.538098454592425,1541.5748918805803,6.738935958906245
396032.0,1091.7650413513184,10.737869333981457,160.7107897077288,0.8132571686209265,544.0780482700892,4.752117956439916,1492.3942940848215,10.05604855543755
546252.7999999999,1061.6452880859374,10.53904296638294,160.78933067321776,0.977815460449404,544.6604888916015,5.346030932962132,1475.8239059448242,10.278032117350465
696473.6,1070.9464782714845,12.020607898526935,159.40268489292689,1.2330803445702214,545.1436008998326,4.321203759904388,1469.3987269810268,11.369551838394312
846694.3999999999,1083.800067138672,9.901543504519358,159.04403795514787,1.2480435644575059,546.2227068219865,4.2344702707933095,1462.5783987862724,11.616749820149701
996915.2,1102.7187639508927,13.78960756633661,159.27917709350587,1.4245077959050807,543.9902969360352,4.145535821114534,1460.2795715332031,12.517016492445217
1147136.0,1071.9506713867188,26.568507929650583,159.9888719831194,1.7103443201406727,541.7655578613281,4.409059717862864,1447.7812238420759,16.635709826163286
1297356.7999999998,1035.3512718200684,38.10819409564266,160.65072283063617,1.854696839011193,541.2132829938616,5.605683776244927,1453.6755929129463,14.935859973346806
1447577.6,955.1667672293527,39.642766630545346,161.13250808715821,2.232829857949005,540.9351409912109,5.7039533129360676,1456.2532623291015,17.600924690368394
1597798.4,890.235756138393,33.61510654975505,161.68504922049385,2.8982530205059662,540.5834359305246,4.0058524087710845,1458.7120309012275,19.833636744955708
1748019.1999999997,818.151651763916,33.9362035724544,162.6443335396903,2.8052174080117838,533.8343178885324,4.373412308751518,1454.2327479771204,19.7151198177451
1898240.0,769.7325299944198,30.937032604011357,163.66559371948242,2.6138400203647554,531.1836017608642,5.6076847776118415,1473.6021438598632,19.190067404578592
