x,Cartesian Increment_mean,Cartesian Increment_stderr,Velocity_mean,Velocity_stderr,Position Increment_mean,Position Increment_stderr,Torque_mean,Torque_stderr
95590.4,0.12568193248007448,0.008226333845830491,0.11497207588981836,0.009442527528066794,0.12969672765595736,0.007447558146503538,0.013521490982450566,0.0034668386255541713
245811.19999999998,0.15960832163691518,0.005588445108936601,0.18976311619792668,0.005304156483369074,0.20599355144160136,0.00458864523794883,0.050553547537752555,0.0019765948189896933
396032.0,0.14612381551414727,0.005913531175393759,0.16323870165007456,0.005999118130218379,0.19221468929733548,0.004775257533111369,0.06943956203758718,0.002360002265987167
546252.7999999999,0.14320865188326154,0.003584097598927671,0.13749367240816354,0.006545150328253783,0.17652321234345436,0.004096597090106833,0.07618180946446955,0.003228828205170199
696473.6,0.1449202212904181,0.0023946995154123644,0.12837070801428388,0.004771124790552323,0.16752333492040633,0.004824777808127332,0.07793635268296514,0.0026228625382272216
846694.3999999999,0.15067551117390393,0.0031152882503505024,0.12281555469546998,0.005361844120927028,0.16341010662061828,0.0057688339503420664,0.07947554146604878,0.0028820383099244355
996915.2,0.14525767011301857,0.002947756802137237,0.1194430399686098,0.003665326020591725,0.1435888333246112,0.004971401858306698,0.07774464776739479,0.002106522270855268
1147136.0,0.13175711897867065,0.00341133502530633,0.12474502942391803,0.003455793433684388,0.1344259770853179,0.004744745837384411,0.08454306828124182,0.003585915672392909
1297356.7999999998,0.11012478843331337,0.0033898657103447667,0.11648824896131245,0.005274918225557276,0.12248489111661912,0.0028340701897692547,0.07971945122948715,0.0036566789323439993
1447577.6,0.10331863441637583,0.0038667766064018664,0.1153038002550602,0.006352108959034874,0.11193300494924188,0.004023688096189607,0.08190602455288172,0.00355227413312902
1597798.4,0.09327441810497215,0.0038188820688368585,0.11745931719030651,0.005577306044634176,0.10109122672251292,0.004262835319376102,0.08327193584825313,0.004022650102378428
1748019.1999999997,0.08720131604932249,0.0032245948165349966,0.11255515664815904,0.005491370693127832,0.0909570848835366,0.005528360904134986,0.08543882657374655,0.004795210733404652
1898240.0,0.08242753531251634,0.0025672238124539943,0.1111582301557064,0.007676421506894394,0.08379562753252685,0.006216253965824363,0.08722022669389844,0.0025997784439134937
2048460.7999999998,0.07845908270350524,0.002237339180827623,0.10749005675315856,0.00655999337943642,0.07336967225585664,0.005601030768104044,0.08616171878363404,0.004660153882355924
2198681.5999999996,0.07733874996192754,0.0023195711662482594,0.10251175644142285,0.005963456572416864,0.06870994339031833,0.0057693844339976545,0.08537985959223339,0.005165271140234607
2348902.4,0.07683485081153256,0.0023718619401068616,0.10190192768350244,0.006704011630251091,0.059605927253141996,0.004380401978526843,0.08350875368341804,0.005857284888034089
2499123.1999999997,0.07420983117605959,0.002055751187999726,0.0998495988547802,0.007892659332534031,0.055542860446231704,0.003853369210241801,0.08376580726887499,0.006136316295751652
2649344.0,0.07709692241623997,0.0018375587167964653,0.09602837546595507,0.0081030810077475,0.05009874462016991,0.00262794322989999,0.08315777411418303,0.005892125932400171
2799564.8,0.07416320379291262,0.00202921194768754,0.08877972604241222,0.008266142763850504,0.04646755987778306,0.00260937580043547,0.08509927131235599,0.006283743928506707
2949785.5999999996,0.07217758936541421,0.001646380319252152,0.08732841150569064,0.010772321725320232,0.04298801757395267,0.0019173536190615907,0.0836308762963329,0.006243207847075921
3100006.4,0.07086523124016822,0.0021551995060604115,0.077046439158065,0.01123937870696193,0.04137175870793206,0.00138772888533485,0.08342819916350501,0.005558815671493815
3250227.1999999997,0.07072648379419531,0.0023727162303493385,0.0670460322406143,0.011908045696467135,0.039580464572645725,0.001195775142544591,0.08390782298520208,0.005121022903319641
