x,Img+Prioception (Cartesian Increment)_mean,Img+Prioception (Cartesian Increment)_stderr,Img+Prioception (Velocity Increment)_mean,Img+Prioception (Velocity Increment)_stderr,Img+Prioception (Position Increment)_mean,Img+Prioception (Position Increment)_stderr,Img+Prioception (Torque Increment)_mean,Img+Prioception (Torque Increment)_stderr
20480.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
104006.9449081803,0.8246998885651314,0.004115655250749302,0.0,0.0,0.0009509626943814999,0.0009509626943815,0.8354060656862684,0.0073744072170821035
187533.8898163606,0.593744500606849,0.012106531242372185,0.0,0.0,0.00140441978830827,0.00140441978830827,0.6180139101169312,0.024564678469611897
271060.83472454094,0.4579038696859908,0.01045112017452007,0.0,0.0,0.0009145703971150204,0.0009145703971150204,0.4691482212186564,0.03272460432248505
354587.7796327212,0.3922413159951345,0.009864909208514775,0.0,0.0,0.0005955426071524782,0.0005955426071524782,0.3588091926688563,0.03099658427320415
438114.7245409015,0.3630652169292112,0.03000075201461154,0.0,0.0,0.0003877784419107869,0.00038777844191078696,0.2840640950401114,0.02876980512095262
521641.6694490818,0.38362964081958384,0.06221184409977418,0.0,0.0,0.00025248130693828125,0.00025248130693828125,0.23529905516759456,0.02549314988807877
605168.6143572622,0.4373683582277859,0.08782022924010295,0.0,0.0,0.00016438006697692923,0.00016438006697692923,0.19205299514406168,0.019868439005175053
688695.5592654424,0.5237739552293911,0.09677246439880553,0.0,0.0,0.0001070146001122509,0.0001070146001122509,0.16045267230773066,0.013610828490369752
772222.5041736227,0.61170789256293,0.09658813395579248,0.0,0.0,6.966432945612376e-05,6.966432945612378e-05,0.13743949182616763,0.01353651548542574
855749.449081803,0.7065363566556604,0.07931665256365143,0.0,0.0,0.0010247573628723138,0.0010247573628723138,0.11993579969542341,0.011256723003055732
939276.3939899834,0.7919793375137214,0.05907437903414198,0.0,0.0,0.0030187504507463714,0.003018750450746372,0.10475510546568578,0.01097399984888728
