x,Img+Prioception (Cartesian Increment)_mean,Img+Prioception (Cartesian Increment)_stderr,Img+Prioception (Velocity)_mean,Img+Prioception (Velocity)_stderr,Img+Prioception (Position Increment)_mean,Img+Prioception (Position Increment)_stderr,Img+Prioception (Torque)_mean,Img+Prioception (Torque)_stderr
20480.0,0.0,0.0,5.65999972820282,3.319999814033508,2.146999963124593,0.7605079078890191,0.0,0.0
104006.9449081803,0.002082008923664606,0.0020820089236646064,6.541672835330136,3.6888739035125564,4.384967801442023,0.9133153417824987,0.0,0.0
187533.8898163606,0.11205143190372908,0.10129468047461518,8.516048240052871,4.594822265661213,8.426028848008032,2.09139154276667,0.0,0.0
271060.83472454094,0.17569658531405272,0.130671496996864,8.27979257843302,4.543425300947984,10.500613158746765,3.041724575745251,0.0,0.0
354587.7796327212,0.14319036803994276,0.0933087008788948,7.533361606841611,3.8521821503047486,11.784825889556371,4.13134210904286,0.0,0.0
438114.7245409015,0.12565759852530195,0.06902442260724169,6.8458692239933026,3.181060303133208,12.984276027055834,4.725135079853956,0.0,0.0
521641.6694490818,0.10552317631275195,0.04931420787861414,6.1921914743201,2.724131406913451,13.604664418879395,4.771685024096078,0.0,0.0
605168.6143572622,0.0892195286096304,0.04444006998863338,5.528895830838415,2.341387353914678,12.460455324500353,4.428521849497619,0.0,0.0
688695.5592654424,0.07352660767159723,0.034654946857193426,4.934130360473713,2.055160730702787,10.563965741157949,3.890103068397937,0.0,0.0
772222.5041736227,0.05091876794300054,0.023028176727101536,4.277396557104286,1.880083740708606,8.800013539401247,3.5033504900571435,0.0,0.0
855749.449081803,0.03776823973316238,0.017425438450600753,3.517265076573515,1.526886930362432,6.95639236021445,2.9327977723585876,0.0,0.0
939276.3939899834,0.03299720905623462,0.01601162007888643,2.9280490427457107,1.2826941453563252,5.379571319660504,1.9754609116821247,0.0,0.0
1022803.3388981636,0.02600716084417808,0.013234392717074906,2.5923552501193448,1.1727330195060586,4.313517179560526,1.33613184377771,0.0,0.0
1106330.283806344,0.026353664947680853,0.017228379257553186,2.366183640186889,1.109617544214925,3.6410667722727887,1.095607290964103,0.0,0.0
1189857.2287145243,0.02370949259423891,0.017598340133338455,2.1590582857957887,1.017491457998378,2.7841752490163123,0.8365783526711766,0.0,0.0
1273384.1736227046,0.020736967532182897,0.016699249743479274,2.1058324871195744,1.026795535042312,2.0566613939561464,0.6194017197223589,0.0,0.0
1356911.1185308849,0.019694395906811105,0.017035857071893618,2.0479501362484376,1.001696123400859,1.4937614894633293,0.416315920564009,0.0,0.0
1440438.0634390651,0.017162501103840138,0.015422471031690954,1.794992355599344,0.7750794990153638,1.1494272665757952,0.26604068685439747,0.0,0.0
