x,Img+Prioception (Cartesian Increment)_mean,Img+Prioception (Cartesian Increment)_stderr,Img+Prioception (Velocity)_mean,Img+Prioception (Velocity)_stderr,Img+Prioception (Position Increment)_mean,Img+Prioception (Position Increment)_stderr,Img+Prioception (Torque)_mean,Img+Prioception (Torque)_stderr
95590.4,4803.224048614502,763.1215618319777,101.20927810668945,1.9776398031502647,2050.9976991925923,473.35072889915244,141.7759526570638,9.414728486460191
245811.19999999998,5648.653407505581,158.5081306167754,109.2319332304455,11.825826546902551,5005.983662923177,509.98625229031074,242.5524473644438,59.861293269755826
396032.0,5984.567321777344,182.82544196861105,106.89666057768322,4.502928634002959,4576.302459716797,304.0070763501636,537.100127447219,197.17344839631843
546252.7999999999,5564.291050502232,249.54784786062905,104.90508842468262,4.618618769787396,4309.792077636719,311.4230585986077,669.0884170532227,269.1792666497351
696473.6,5576.8391026088175,410.5981246011358,110.74977257138205,8.868205408295383,4072.8150533040366,373.1848462844103,712.6776609874906,275.28103438776714
846694.3999999999,5200.048889160156,683.031568502702,98.04471697126115,8.614484386498676,3649.3259684244795,332.50027528805555,673.4489549909318,220.00681590351746
996915.2,4217.14892578125,711.3850374076326,108.98505783081055,15.826320222720438,3241.312915039063,335.3811150640632,732.8177642822266,114.95870413053329
1147136.0,3727.6153041294647,626.1535189650832,88.92188117617654,4.156695063194576,2765.243850708008,314.2370599571118,732.8243466331845,143.76126427736241
1297356.7999999998,2941.9402084350586,473.0730201640371,82.8534927368164,2.8413765151875086,2234.5424804687505,196.88270772628533,695.958987281436,94.42321300239036
1447577.6,2402.076376778739,266.0142602611924,82.64630190531413,9.41824544688005,1949.8526458740234,135.89149021805065,660.4270451863607,134.25522917359874
1597798.4,2261.118190220424,183.95968389712792,92.97538030715215,8.255310015704879,1768.0504028320313,89.64872288920674,600.773420061384,142.97715521828076
1748019.1999999997,2016.889663696289,100.71840775915736,86.3170899890718,7.377691362562383,1584.4361724853516,30.866644854589243,578.7133643740699,166.0391418249639
1898240.0,1924.311231340681,95.55496273675055,85.19812393188477,8.023042272154278,1556.3802541097004,50.68366563422853,501.80983479817706,116.80341903565225
2048460.7999999998,1953.3479701450892,49.92080623266942,75.09085373651413,10.491127218943491,1516.111639404297,59.36214686087865,480.1578921363468,91.5151421732047
2198681.5999999996,1934.591724395752,69.50018615582303,72.89163934616816,7.0882335649707375,1478.1864471435547,53.989595736599725,447.8526742117745,66.93964777225742
2348902.4,2078.05324445452,30.74784824487537,62.64125728607178,7.836906516662786,1459.9191385904949,40.74292431689504,449.7875048319499,75.95202189788586
2499123.1999999997,1975.4288024902344,62.52879679246017,52.0153926667713,3.6106351701999206,1478.6210754394529,51.57490999097278,405.2316356840588,38.86352585118239
2649344.0,1947.9066467285156,48.872508909474156,52.24419748215448,4.541363550399495,1478.608439127604,24.636959025145575,427.87662905738466,5.990040341765206
2799564.8,2049.7559901646205,99.67786278183345,61.844435373942055,8.06288349537877,1481.488316853841,14.817697088215906,422.3989562988281,27.236675487209627
2949785.5999999996,2023.0883571079798,65.63415903129645,57.62375986008417,4.446552586409067,1482.305384318034,40.67812693242881,393.5314084007626,34.99382975788964
3100006.4,2069.8198585510254,65.52958329994608,60.46231278919038,12.806413005041676,1500.5726257324218,50.48583253691672,412.6888093494233,86.75112953795202
3250227.1999999997,2091.345781598772,39.25299096638101,55.94573084513346,2.6555735699042864,1433.7515462239583,56.193547344380505,377.0688412984212,80.3126508476347
3400448.0,2122.1804460797994,56.60571693135975,64.37341780889602,10.534242944614014,1474.6255544026692,42.796387042567744,375.54224359421505,86.49997103820365
3550668.8,2210.035457611084,59.49374964838482,70.06157539004371,2.0160969182217974,1487.385614013672,54.66269562766551,467.6958182198661,95.67363314324898
3700889.5999999996,2240.2771562848775,66.05703349241618,69.08831024169922,14.913603205008203,1499.7109375,65.15401877719444,454.89187040783116,126.3667858954812
3851110.3999999994,2303.647212437221,29.975582524471875,60.560484886169434,7.135735408348782,1514.0344594319663,58.2549426559448,460.7905502319336,121.04690688453627
4001331.1999999997,2201.543170928955,62.28581537080741,52.394887651715955,3.0861261379070957,1506.301478068034,11.106755542851381,449.1482122512091,161.67656842121227
4151551.9999999995,2285.7097603934153,41.90877051147186,49.316907246907554,4.851571850942775,1610.6148498535154,36.770411003559374,428.0424397786458,142.87880419316787
4301772.799999999,2232.9368852887833,47.863686130595966,49.147040367126465,4.944429000021085,1491.5113779703777,37.560834426898545,400.1199722290039,113.70152338105655
4451993.6,2348.1884155273438,62.228559745879195,43.7011715116955,1.7878083830493643,1532.8548024495442,19.63794084913894,394.8423229399182,115.62506577707721
4602214.4,2302.9767368861603,50.466928180052996,44.848114376976376,1.2196012048760712,1558.2066955566406,17.498197263539463,523.7736482166109,115.75699061430142
4752435.199999999,2271.343981061663,65.7031490719965,39.80056301752726,0.7337910216784657,1547.0515238444011,68.6691976137354,595.373940785726,100.39720331944268
4902656.0,2316.897575378418,84.90485418277278,44.41905248732794,6.210926754396435,1535.4145456949868,44.2800264363646,672.1820068359375,124.47379498868874
5052876.799999999,2274.3648681640625,70.97457433382137,45.23676045735677,4.852965073013307,1602.535595703125,34.60742316022365,655.6755167643229,162.1293415493926
5203097.6,2394.0011945452006,134.05697055454067,47.51271629333496,9.528035471129453,1561.525360107422,78.43920745365537,599.5023803710938,185.4056335735284
5353318.4,2298.8837547302246,33.29182582707607,45.8378998892648,7.3689198754433205,1571.5601043701172,28.282046457930868,572.9077875046503,121.55525935392258
