x,Img+Prioception (Cartesian Increment)_mean,Img+Prioception (Cartesian Increment)_stderr,Img+Prioception (Velocity)_mean,Img+Prioception (Velocity)_stderr,Img+Prioception (Position Increment)_mean,Img+Prioception (Position Increment)_stderr,Img+Prioception (Torque)_mean,Img+Prioception (Torque)_stderr
15418112.0,0.9942857197352818,nan,0.9985714299338204,nan,0.9957142898014614,nan,0.9942857197352818,nan
15568332.799999999,0.9942857197352818,nan,0.9925000071525574,nan,0.9950000047683716,nan,0.9950000047683716,nan
15718553.599999998,0.9925000071525574,nan,0.9985714299338204,nan,0.9928571496691022,nan,0.9885714394705636,nan
15868774.399999999,0.9985714299338204,nan,1.0,nan,0.997142859867641,nan,0.9900000095367432,nan
16018995.2,0.9957142898014614,nan,1.0,nan,0.9950000047683716,nan,0.9862500131130219,nan
16169216.0,0.9962500035762787,nan,0.9985714299338204,nan,0.997142859867641,nan,0.9871428694043841,nan
16319436.799999999,0.9928571496691022,nan,1.0,nan,0.997142859867641,nan,0.9900000095367432,nan
16469657.599999998,0.9900000095367432,nan,0.9987500011920929,nan,0.9900000095367432,nan,0.9925000071525574,nan
16619878.399999999,0.9950000047683716,nan,0.9957142898014614,nan,0.9900000095367432,nan,0.997142859867641,nan
16770099.2,0.9928571496691022,nan,0.9985714299338204,nan,0.9942857197352818,nan,0.9885714394705636,nan
16920320.0,1.0,nan,0.9962500035762787,nan,0.9950000047683716,nan,0.9925000071525574,nan
17070540.799999997,0.9937500059604645,nan,0.9985714299338204,nan,0.9942857197352818,nan,0.9928571496691022,nan
17220761.6,0.9957142898014614,nan,1.0,nan,0.9957142898014614,nan,0.9942857197352818,nan
17370982.4,0.9928571496691022,nan,0.9962500035762787,nan,0.9962500035762787,nan,0.9925000071525574,nan
17521203.199999996,0.9937500059604645,nan,0.9914285796029227,nan,0.997142859867641,nan,0.9885714394705636,nan
17671424.0,0.9957142898014614,nan,0.997142859867641,nan,0.997142859867641,nan,0.9928571496691022,nan
17821644.799999997,0.9942857197352818,nan,0.9987500011920929,nan,0.9937500059604645,nan,0.9900000095367432,nan
17971865.6,0.9950000047683716,nan,0.997142859867641,nan,0.9957142898014614,nan,0.9900000095367432,nan
18122086.4,0.9942857197352818,nan,1.0,nan,0.9957142898014614,nan,0.9928571496691022,nan
18272307.199999996,0.9985714299338204,nan,0.9987500011920929,nan,0.9962500035762787,nan,0.987500011920929,nan
18422528.0,0.9950000047683716,nan,0.9985714299338204,nan,0.9942857197352818,nan,0.9814285806247166,nan
18572748.799999997,0.9928571496691022,nan,0.9985714299338204,nan,0.9957142898014614,nan,0.9871428694043841,nan
18722969.6,0.9928571496691022,nan,0.9957142898014614,nan,0.9942857197352818,nan,0.9957142898014614,nan
18873190.4,0.9912500083446503,nan,0.9962500035762787,nan,0.9962500035762787,nan,0.9962500035762787,nan
19023411.199999996,0.9914285796029227,nan,0.997142859867641,nan,0.9942857197352818,nan,0.9914285796029227,nan
19173632.0,0.997142859867641,nan,1.0,nan,0.9957142898014614,nan,0.9900000095367432,nan
19323852.799999997,0.9975000023841858,nan,0.9987500011920929,nan,0.9937500059604645,nan,0.9950000047683716,nan
19474073.6,0.9957142898014614,nan,0.9957142898014614,nan,0.9914285796029227,nan,0.9900000095367432,nan
19624294.4,0.997142859867641,nan,0.9942857197352818,nan,0.9900000095367432,nan,0.9914285710879734,nan
19774515.199999996,0.9950000047683716,nan,0.9975000023841858,nan,0.9887500107288361,nan,0.9950000047683716,nan
19924736.0,0.9957142898014614,nan,0.9957142898014614,nan,0.9928571496691022,nan,0.9871428694043841,nan
20074956.799999997,0.9985714299338204,nan,0.9928571496691022,nan,0.9928571496691022,nan,0.984285729272025,nan
20225177.6,0.9950000047683716,nan,0.9937499985098839,nan,0.9962500035762787,nan,0.9837500154972076,nan
20375398.4,0.9985714299338204,nan,0.9957142898014614,nan,0.9985714299338204,nan,0.9900000095367432,nan
20525619.199999996,0.9914285796029227,nan,0.997142859867641,nan,0.9942857197352818,nan,0.9828571592058454,nan
20675840.0,0.9962500035762787,nan,0.9987500011920929,nan,0.9962500035762787,nan,0.9800000190734863,nan
20826060.799999997,0.9928571496691022,nan,0.9957142898014614,nan,0.9942857197352818,nan,0.9871428694043841,nan
20976281.6,0.9914285796029227,nan,0.9985714299338204,nan,0.9942857197352818,nan,0.9771428619112287,nan
21126502.4,0.9912500083446503,nan,0.9950000047683716,nan,0.9962500035762787,nan,0.987500011920929,nan
21276723.199999996,0.9914285796029227,nan,0.997142859867641,nan,0.9957142898014614,nan,0.9828571506908962,nan
21426944.0,0.9942857197352818,nan,0.9914285796029227,nan,0.9928571496691022,nan,0.9914285796029227,nan
21577164.799999997,0.9962500035762787,nan,0.9975000023841858,nan,0.9975000023841858,nan,0.9937500059604645,nan
21727385.6,0.9928571496691022,nan,0.997142859867641,nan,0.9942857197352818,nan,0.9900000095367432,nan
21877606.4,0.9928571496691022,nan,0.9957142898014614,nan,0.9928571496691022,nan,0.9885714394705636,nan
22027827.199999996,0.9900000095367432,nan,0.9962500035762787,nan,0.9937500059604645,nan,0.987500011920929,nan
22178048.0,0.9900000095367432,nan,0.9957142898014614,nan,0.9914285796029227,nan,0.9914285796029227,nan
22328268.799999997,0.9914285796029227,nan,0.9985714299338204,nan,0.9928571496691022,nan,0.9900000095367432,nan
22478489.6,0.9962500035762787,nan,0.9942857197352818,nan,0.997142859867641,nan,0.9914285796029227,nan
22628710.4,0.985714282308306,nan,0.994999997317791,nan,0.9900000020861626,nan,0.9937499985098839,nan
22778931.199999996,0.9900000010217939,nan,0.9985714299338204,nan,0.9957142898014614,nan,0.9885714394705636,nan
22929152.0,0.9900000095367432,nan,0.997142859867641,nan,0.9842857207570758,nan,0.9900000095367432,nan
23079372.799999997,0.9942857197352818,nan,0.9987500011920929,nan,0.9987500011920929,nan,0.9925000071525574,nan
23229593.6,0.9942857197352818,nan,0.9985714299338204,nan,0.997142859867641,nan,0.9914285796029227,nan
23379814.4,0.9962500035762787,nan,0.9928571496691022,nan,0.9900000095367432,nan,0.9871428694043841,nan
23530035.199999996,0.997142859867641,nan,0.9912500083446503,nan,0.9900000095367432,nan,0.9900000095367432,nan
23680256.0,0.9928571496691022,nan,0.9985714299338204,nan,0.997142859867641,nan,0.984285729272025,nan
