x,JointTorq_mean,JointTorq_stderr,JointTorq+Img_mean,JointTorq+Img_stderr
20480.0,2.5385833024978637,0.10123903960578098,2.5897103786468505,0.16878208716502383
104006.9449081803,2.2972594358937064,0.09613896908289712,2.325141818007496,0.17064409221656374
187533.8898163606,2.145927072350528,0.09852618082853425,2.113601517366176,0.1918710802840564
271060.83472454094,2.1578594295548212,0.11980683104359706,2.108651534354153,0.24352745640123044
354587.7796327212,2.3019841679559505,0.1554458507622926,2.3175013742911834,0.32411093128889057
438114.7245409015,2.56401647838988,0.22256492773796402,2.7545782940245105,0.4485757873512987
521641.6694490818,2.936288858207003,0.3428717145037224,3.426918543084586,0.6369746757024702
605168.6143572622,3.4209572534702075,0.5048808940234122,4.331561552157038,0.8545476726729341
688695.5592654424,3.9214833998324337,0.6615784772503461,5.2952446085296625,1.0123546218335706
772222.5041736227,4.383805806496528,0.8010860962363202,6.1799596176307,1.1286152707140176
855749.449081803,4.821235313778829,0.92865709749724,7.0125516947759525,1.215925279556326
939276.3939899834,5.2326411795860714,1.0476648602100749,7.792188690337639,1.2892138008478864
1022803.3388981636,5.555895036706017,1.131427784467013,8.392810720214282,1.3172344149758979
1106330.283806344,5.836255198049368,1.1951139503555,8.920809027234666,1.2919478831889222
1189857.2287145243,6.101080532107579,1.2365820187055505,9.424539264596074,1.1650316004709647
1273384.1736227046,6.330106144105317,1.263649967314873,9.832884491020225,1.0244453748325064
1356911.1185308849,6.523260358797811,1.2900296330107859,10.19266007461663,0.8689629483196742
1440438.0634390651,6.682937344660097,1.3174100908331814,10.50852603383768,0.7006357826027979
1523965.0083472454,6.816002597571258,1.341164744943343,10.76866413780318,0.5284961564707049
1607491.9532554257,6.944682618745546,1.3708909235339997,11.01864432310493,0.3938921857275345
1691018.898163606,7.027810812887021,1.3898924389212624,11.17680800089891,0.2884245372471052
1774545.8430717865,7.097590610582245,1.4003980480063996,11.289038690346368,0.19593349196020798
1858072.7879799667,7.150180291247513,1.4053245170898492,11.361008418517343,0.13793257963389055
1941599.732888147,7.184099830039878,1.407960331675731,11.403725519709303,0.12168713738982877
2025126.6777963273,7.2128507169124845,1.4131273050929898,11.448614019508296,0.11293688385025372
2108653.622704508,7.227163637196706,1.418982831452602,11.48026798960563,0.11500553285365525
2192180.567612688,7.254457527229874,1.420052724663665,11.511925790653871,0.0914474503716338
2275707.5125208683,7.280446178194611,1.43033854728775,11.569554881894463,0.08058189953269806
2359234.4574290486,7.292996621942587,1.4373247285972435,11.603527663120957,0.07340550085106155
2442761.402337229,7.296832111604447,1.4369848767320224,11.606610262462004,0.06742665118217052
2526288.347245409,7.305065102410862,1.4328915079900553,11.6024903204918,0.06528703838704437
2609815.2921535894,7.3036842328885125,1.4357131087433015,11.610111810089291,0.050900030886047914
2693342.2370617697,7.28727371165311,1.4380255174829704,11.600947704240573,0.037908084862412365
2776869.18196995,7.288548501382683,1.4395943228132175,11.607034646631444,0.0317485993479914
2860396.1268781302,7.294280776660868,1.4413914090034774,11.618173530237048,0.030683892460434143
2943923.0717863105,7.30027683636426,1.4425782591002976,11.627679638653287,0.02607178097624434
3027450.016694491,7.319005456473394,1.441102858369508,11.641788588171732,0.026006940800871518
3110976.961602671,7.33241780868389,1.4369993107146917,11.642447111784255,0.03384601788501555
3194503.9065108513,7.342830223670565,1.4379328132798666,11.655761503939207,0.02165275234733983
3278030.8514190316,7.362256980169005,1.4387912001907073,11.678066481797199,0.019618526407057402
3361557.796327212,7.375919078325691,1.4348171111992232,11.679715176583386,0.025410105920079917
3445084.7412353926,7.38034414480313,1.4279404479083495,11.663114449077991,0.034024743427180655
3528611.686143573,7.380579972302653,1.4248808982666994,11.653937026296514,0.035763124459892486
3612138.631051753,7.365251186502137,1.427300239359808,11.646210686871921,0.027977020468798363
3695665.5759599335,7.374893410766347,1.4240960432583116,11.646300107194397,0.02273522244307248
3779192.5208681137,7.404182347630948,1.4153024321905483,11.649036613145395,0.018077676851181477
3862719.465776294,7.433574048275429,1.4068913135590597,11.652657210040067,0.021786657481009334
3946246.4106844743,7.4523340832928735,1.4040573738138344,11.661564486416273,0.02835591763586995
4029773.3555926546,7.473264604052469,1.4012065935968245,11.67214500880874,0.028304226085542422
4113300.300500835,7.482796498871446,1.3938424214963532,11.65883163000711,0.024648149824611037
4196827.245409016,7.510951441904628,1.3905604099691486,11.672799643166039,0.021885860561381424
4280354.190317196,7.552196363376483,1.379865898312273,11.677051001670247,0.02446656100620361
4363881.135225376,7.581145554639815,1.3731819248442114,11.683196961851069,0.024611492678036664
4447408.080133556,7.596158309969354,1.3702478202246768,11.689871262226998,0.019308957978435935
4530935.025041737,7.616782674939439,1.3609554894828704,11.683022316936913,0.01959600922983044
4614461.969949917,7.641236868907018,1.34738806994849,11.661734283904517,0.027703983183602465
4697988.914858097,7.66994253733768,1.3364718598717498,11.65256120118257,0.030810615288915284
4781515.8597662775,7.708332804628763,1.324035422966442,11.65046688895272,0.021181337324174244
4865042.804674458,7.757898677344828,1.3113691940937473,11.663706146915734,0.01779267604101687
4948569.749582638,7.822705140021135,1.2926991040535736,11.673775651846984,0.028454370118852726
5032096.694490818,7.920610082282286,1.2594962441017072,11.669580552164971,0.04152767329599935
5115623.639398999,8.090364627642428,1.2048902455387513,11.672961181885247,0.037701407232383105
5199150.584307179,8.226401573052094,1.1641777137144733,11.688028115053456,0.03427422050280841
5282677.529215359,8.276937199181114,1.1450267517553476,11.679851615179679,0.0189607860064181
5366204.474123539,8.342472362082088,1.123685795747559,11.678289427542127,0.014787016270764682
5449731.41903172,8.45222357231434,1.0928403903389543,11.691697413606652,0.020232427884339932
5533258.3639399,8.551571913477853,1.0631847471909943,11.700979186731788,0.030105353348086495
5616785.30884808,8.652076219571473,1.0239757531054576,11.687139556731541,0.024599783518977802
5700312.2537562605,8.663287324851009,1.018273353935444,11.68336043426527,0.025369043753000507
5783839.198664441,8.699769283765987,1.0061479221061487,11.688458011432498,0.023609806203660294
5867366.143572621,8.780092375781603,0.9797533206079344,11.693837434260178,0.021045741645611637
5950893.088480801,8.860050809869005,0.9489656309341359,11.683955238192073,0.021601171865194453
